step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.335393905639648,0.3412119150161743,0.3135480284690857,0.0,0.0,0.0,nan,nan,nan,0.0004884584923274815,6.335882186889648,nan,0.04884584993124008,0.000206379932933487,0.04788961261510849,0.049733374267816544,0.0,0.0,0.0,0.0,0.0,1.0,0.19510233402252197,1.0,1.0,0.0,1.3320641301106662e-06,0.0,0.0,1.3320641301106662e-07,0.05000000074505806
1,1,0.0002999999704898838,6.270532608032227,0.3807811737060547,0.34601399302482605,0.0,0.0,0.0,nan,nan,nan,0.00048747705295681953,6.27101993560791,nan,0.0487477071583271,0.00021280664077494293,0.04793352633714676,0.04959585517644882,0.0,0.0,0.0,0.0,0.0,1.0,0.19481082260608673,1.0,1.0,0.0,1.5682392131566303e-06,0.0,0.0,1.5682392984217586e-07,0.05000000074505806
2,1,0.00029999993360224126,6.153028964996338,0.4207063913345337,0.3717181384563446,0.0,0.0,0.0,nan,nan,nan,0.0004861737252213061,6.153515338897705,nan,0.048617374151945114,0.000193652231246233,0.04779735207557678,0.04948003590106964,0.0,0.0,0.0,0.0,0.0,1.0,0.19442346692085266,1.0,1.0,0.0,1.911656227093772e-06,0.0,0.0,1.9116562555154815e-07,0.05000000074505806
3,1,0.0002999998819595469,5.880812644958496,0.48253121972084045,0.3997664153575897,0.0,0.0,0.0,nan,nan,nan,0.00048486574087291956,5.881297588348389,nan,0.04848657548427582,0.00018866521713789552,0.047811657190322876,0.04923090711236,0.0,0.0,0.0,0.0,0.0,1.0,0.19403433799743652,1.0,1.0,0.0,2.2904559955350123e-06,0.0,0.0,2.290455967113303e-07,0.05000000074505806
4,1,0.00029999981556180566,5.848845481872559,0.5092505812644958,0.4073936343193054,0.0,0.0,0.0,nan,nan,nan,0.0004835136642213911,5.849329471588135,nan,0.04835136607289314,0.00019526234245859087,0.04764784872531891,0.04926816746592522,0.0,0.0,0.0,0.0,0.0,1.0,0.1936316192150116,1.0,1.0,0.0,2.71799626716529e-06,0.0,0.0,2.7179962103218713e-07,0.05000000074505806
5,1,0.00029999973440902417,5.742195129394531,0.5470445156097412,0.42299172282218933,0.0,0.0,0.0,nan,nan,nan,0.00048198344302363694,5.742677688598633,nan,0.04819834604859352,0.00019110037828795612,0.04749365895986557,0.049083493649959564,0.0,0.0,0.0,0.0,0.0,1.0,0.19317542016506195,1.0,1.0,0.0,3.245959533160203e-06,0.0,0.0,3.245959590003622e-07,0.05000000074505806
6,1,0.00029999963850121047,5.699412822723389,0.5717791318893433,0.4295262098312378,0.0,0.0,0.0,nan,nan,nan,0.00048091544886119664,5.699894428253174,nan,0.048091545701026917,0.00020019961812067777,0.04738093540072441,0.048871640115976334,0.0,0.0,0.0,0.0,0.0,1.0,0.19285666942596436,1.0,1.0,0.0,3.642200681497343e-06,0.0,0.0,3.6422008520275995e-07,0.05000000074505806
7,1,0.000299999527838374,5.486350059509277,0.6134690642356873,0.43880096077919006,0.0,0.0,0.0,nan,nan,nan,0.0004794138658326119,5.48682975769043,nan,0.047941386699676514,0.00019739673007279634,0.04723168537020683,0.048882003873586655,0.0,0.0,0.0,0.0,0.0,1.0,0.19240815937519073,1.0,1.0,0.0,4.237891971570207e-06,0.0,0.0,4.2378920284136257e-07,0.05000000074505806
8,1,0.0002999994024205256,5.571601390838623,0.6179846525192261,0.4414774179458618,0.0,0.0,0.0,nan,nan,nan,0.0004779119626618922,5.572079658508301,nan,0.04779119789600372,0.00021025560272391886,0.047049615532159805,0.04876870661973953,0.0,0.0,0.0,0.0,0.0,1.0,0.19195899367332458,1.0,1.0,0.0,4.878810159425484e-06,0.0,0.0,4.878810386799159e-07,0.05000000074505806
9,1,0.00029999926224767785,5.546937942504883,0.6306217908859253,0.4468327462673187,0.0,0.0,0.0,nan,nan,nan,0.00047646075836382806,5.547414779663086,nan,0.04764607548713684,0.0001876439491752535,0.04694676399230957,0.04869659245014191,0.0,0.0,0.0,0.0,0.0,1.0,0.1915246546268463,1.0,1.0,0.0,5.540964139072457e-06,0.0,0.0,5.54096402538562e-07,0.05000000074505806
10,1,0.0002999991073198443,5.363128662109375,0.6634792685508728,0.450924277305603,0.0,0.0,0.0,nan,nan,nan,0.0004750192747451365,5.3636040687561035,nan,0.047501929104328156,0.0002024496643571183,0.046921879053115845,0.04837614670395851,0.0,0.0,0.0,0.0,0.0,1.0,0.1910926252603531,1.0,1.0,0.0,6.240361926757032e-06,0.0,0.0,6.24036204044387e-07,0.05000000074505806
11,1,0.0002999989376370405,5.317913055419922,0.6757231950759888,0.45531678199768066,0.0,0.0,0.0,nan,nan,nan,0.000473716325359419,5.318387031555176,nan,0.04737163335084915,0.00018832289788406342,0.046734508126974106,0.04812168702483177,0.0,0.0,0.0,0.0,0.0,1.0,0.19070181250572205,1.0,1.0,0.0,6.9083152993698604e-06,0.0,0.0,6.908315413056698e-07,0.05000000074505806
12,1,0.00029999875319928305,5.20689582824707,0.6942219734191895,0.45593053102493286,0.0,0.0,0.0,nan,nan,nan,0.0004720367433037609,5.207368850708008,nan,0.0472036749124527,0.00019313428492750973,0.04657125473022461,0.04802151769399643,0.0,0.0,0.0,0.0,0.0,1.0,0.1901974081993103,1.0,1.0,0.0,7.819437996658962e-06,0.0,0.0,7.8194381103458e-07,0.05000000074505806
13,1,0.0002999985540065902,5.154170036315918,0.704482913017273,0.44491931796073914,0.0,0.0,0.0,nan,nan,nan,0.00047064406680874527,5.154641628265381,nan,0.047064408659935,0.00019781081937253475,0.04645737633109093,0.04783788323402405,0.0,0.0,0.0,0.0,0.0,1.0,0.18977868556976318,1.0,1.0,0.0,8.61770058691036e-06,0.0,0.0,8.617700473223522e-07,0.05000000074505806
14,1,0.0002999983400589816,5.094794273376465,0.7138981819152832,0.44071441888809204,0.0,0.0,0.0,nan,nan,nan,0.00046932458644732833,5.095264434814453,nan,0.04693245887756348,0.00020950323960278183,0.04625898599624634,0.047728873789310455,0.0,0.0,0.0,0.0,0.0,1.0,0.18938153982162476,1.0,1.0,0.0,9.409813173988368e-06,0.0,0.0,9.409813515048882e-07,0.05000000074505806
15,1,0.0002999981113564784,5.1066741943359375,0.7156187891960144,0.435049831867218,0.0,0.0,0.0,nan,nan,nan,0.0004680217243731022,5.107143402099609,nan,0.04680217429995537,0.0002069087204290554,0.04622689262032509,0.04760328307747841,0.0,0.0,0.0,0.0,0.0,1.0,0.1889890730381012,1.0,1.0,0.0,1.022609376377659e-05,0.0,0.0,1.0226093536402914e-06,0.05000000074505806
16,1,0.0002999978678991031,5.135915756225586,0.7179181575775146,0.4271727502346039,0.0,0.0,0.0,nan,nan,nan,0.00046657180064357817,5.136383056640625,nan,0.04665718227624893,0.00019894550496246666,0.04601762443780899,0.04736585170030594,0.0,0.0,0.0,0.0,0.0,1.0,0.1885518729686737,1.0,1.0,0.0,1.1174435712746345e-05,0.0,0.0,1.1174436167493695e-06,0.05000000074505806
17,1,0.0002999976096868798,5.085809230804443,0.7221579551696777,0.42259544134140015,0.0,0.0,0.0,nan,nan,nan,0.00046517743612639606,5.086276054382324,nan,0.0465177446603775,0.00021706426923628896,0.04586419835686684,0.047502707690000534,0.0,0.0,0.0,0.0,0.0,1.0,0.18813087046146393,1.0,1.0,0.0,1.212610732181929e-05,0.0,0.0,1.2126107549192966e-06,0.05000000074505806
18,1,0.00029999733671983396,5.060220718383789,0.7254884839057922,0.41739964485168457,0.0,0.0,0.0,nan,nan,nan,0.0004637087695300579,5.060685634613037,nan,0.04637087881565094,0.0002344426466152072,0.045484136790037155,0.047451309859752655,0.0,0.0,0.0,0.0,0.0,1.0,0.1876869797706604,1.0,1.0,0.0,1.3170525562600233e-05,0.0,0.0,1.3170525789973908e-06,0.05000000074505806
19,1,0.0002999970489979925,5.0388665199279785,0.7252275943756104,0.42028284072875977,0.0,0.0,0.0,nan,nan,nan,0.00046231213491410017,5.03933048248291,nan,0.046231213957071304,0.00023072939075063914,0.04560883343219757,0.047067612409591675,0.0,0.0,0.0,0.0,0.0,1.0,0.18726447224617004,1.0,1.0,0.0,1.4203754290065262e-05,0.0,0.0,1.4203754972186289e-06,0.05000000074505806
20,1,0.00029999674652138385,4.769670486450195,0.7553307414054871,0.41418543457984924,0.0,0.0,0.0,nan,nan,nan,0.00046084067435003817,4.770132541656494,nan,0.04608406871557236,0.00023926033463794738,0.04540426656603813,0.04692681506276131,0.0,0.0,0.0,0.0,0.0,1.0,0.18681880831718445,1.0,1.0,0.0,1.5334524505306035e-05,0.0,0.0,1.5334525187427062e-06,0.05000000074505806
21,1,0.00029999642929003784,4.826412200927734,0.7513551712036133,0.40543270111083984,0.0,0.0,0.0,nan,nan,nan,0.00045936479000374675,4.826872825622559,nan,0.04593648016452789,0.00023382036306429654,0.045190390199422836,0.046719957143068314,0.0,0.0,0.0,0.0,0.0,1.0,0.1863713562488556,1.0,1.0,0.0,1.6512200090801343e-05,0.0,0.0,1.6512200318175019e-06,0.05000000074505806
22,1,0.0002999960973039858,4.802589416503906,0.7513530254364014,0.4031134247779846,0.0,0.0,0.0,nan,nan,nan,0.0004578958614729345,4.803049087524414,nan,0.04578958824276924,0.00026183039881289005,0.04510706663131714,0.04668894037604332,0.0,0.0,0.0,0.0,0.0,1.0,0.18592536449432373,1.0,1.0,0.0,1.772757423168514e-05,0.0,0.0,1.7727574004311464e-06,0.05000000074505806
23,1,0.00029999575056326047,4.928376197814941,0.7351940274238586,0.38335925340652466,0.0,0.0,0.0,nan,nan,nan,0.00045645373756997287,4.928834438323975,nan,0.045645374804735184,0.00027091667288914323,0.044882580637931824,0.04664665088057518,0.0,0.0,0.0,0.0,0.0,1.0,0.18548712134361267,1.0,1.0,0.0,1.8962766262120567e-05,0.0,0.0,1.8962766716867918e-06,0.05000000074505806
24,1,0.00029999538906789607,4.812050819396973,0.7466236352920532,0.3796307444572449,0.0,0.0,0.0,nan,nan,nan,0.00045535381650552154,4.8125081062316895,nan,0.0455353818833828,0.0002683676721062511,0.0446329191327095,0.04646705463528633,0.0,0.0,0.0,0.0,0.0,1.0,0.1851525902748108,1.0,1.0,0.0,1.993282239709515e-05,0.0,0.0,1.993282239709515e-06,0.05000000074505806
25,1,0.0002999950128179283,4.773190498352051,0.7498518824577332,0.36404314637184143,0.0,0.0,0.0,nan,nan,nan,0.00045384245458990335,4.773646354675293,nan,0.0453842468559742,0.00030112871900200844,0.044622208923101425,0.0464790016412735,0.0,0.0,0.0,0.0,0.0,1.0,0.18469226360321045,1.0,1.0,0.0,2.1305184418451972e-05,0.0,0.0,2.130518396370462e-06,0.05000000074505806
26,1,0.0002999946218133943,4.606781005859375,0.7676098346710205,0.3490426540374756,0.0,0.0,0.0,nan,nan,nan,0.0004526980046648532,4.607235908508301,nan,0.04526980221271515,0.0002968082844745368,0.04447704553604126,0.04639630764722824,0.0,0.0,0.0,0.0,0.0,1.0,0.18434353172779083,1.0,1.0,0.0,2.237477747257799e-05,0.0,0.0,2.237477701783064e-06,0.05000000074505806
27,1,0.0002999942160543326,4.659946918487549,0.7590830326080322,0.3422015309333801,0.0,0.0,0.0,nan,nan,nan,0.0004511694423854351,4.660400390625,nan,0.04511694610118866,0.00032050878508016467,0.04411786049604416,0.04645932838320732,0.0,0.0,0.0,0.0,0.0,1.0,0.18387706577777863,1.0,1.0,0.0,2.384422259638086e-05,0.0,0.0,2.384422259638086e-06,0.05000000074505806
28,1,0.00029999379554078334,4.525828838348389,0.7706427574157715,0.3286580741405487,0.0,0.0,0.0,nan,nan,nan,0.00045016303192824125,4.526281356811523,nan,0.04501630365848541,0.0003261698584537953,0.044093962758779526,0.04614981636404991,0.0,0.0,0.0,0.0,0.0,1.0,0.18356969952583313,1.0,1.0,0.0,2.4837236196617596e-05,0.0,0.0,2.4837236196617596e-06,0.05000000074505806
29,1,0.000299993360272788,4.593782424926758,0.7595789432525635,0.3162277638912201,0.0,0.0,0.0,nan,nan,nan,0.0004488900303840637,4.594233512878418,nan,0.04488900303840637,0.00033319040085189044,0.0439259372651577,0.04606957733631134,0.0,0.0,0.0,0.0,0.0,1.0,0.18318058550357819,1.0,1.0,0.0,2.6122297640540637e-05,0.0,0.0,2.6122297640540637e-06,0.05000000074505806
