step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.741298675537109,0.49908190965652466,0.4858122169971466,0.0,0.0,0.0,6.4220123291015625,6.3857269287109375,0.7552109956741333,0.0010965606197714806,6.742751121520996,nan,0.10965606570243835,0.0026455451734364033,0.0976266860961914,0.1206209734082222,0.0,0.0,0.0,0.0,0.0,0.0,0.3457598090171814,1.0,1.0,0.0,0.003558846190571785,0.0,0.0,0.00035588463651947677,0.05000000074505806
1,1,0.0002999999704898838,6.771406650543213,0.5166901350021362,0.5092495679855347,0.0,0.0,0.0,6.448818683624268,6.45175838470459,0.7610512375831604,0.0009066412458196282,6.7724785804748535,nan,0.09066412597894669,0.002181329531595111,0.08160290867090225,0.10060852020978928,0.0,0.0,0.0,0.0,0.0,0.0,0.3040428161621094,1.0,1.0,0.0,0.0016535710310563445,0.0,0.0,0.00016535710892640054,0.05000000074505806
2,1,0.00029999993360224126,6.7237396240234375,0.5508947372436523,0.5411748290061951,0.0,0.0,0.0,6.395687580108643,6.561041355133057,0.7715127468109131,0.0007499227649532259,6.724552154541016,nan,0.07499227672815323,0.0017369252163916826,0.06829968839883804,0.08161136507987976,0.0,0.0,0.0,0.0,0.0,0.0,0.26634329557418823,1.0,1.0,0.0,0.0006246138364076614,0.0,0.0,6.246138218557462e-05,0.05000000074505806
3,1,0.0002999998819595469,6.644550323486328,0.5815016031265259,0.5668107867240906,0.0,0.0,0.0,6.325970649719238,6.37159538269043,0.752967357635498,0.0006221215007826686,6.6451873779296875,nan,0.062212154269218445,0.001516853109933436,0.05527568981051445,0.0683833509683609,0.0,0.0,0.0,0.0,0.0,0.0,0.23299172520637512,1.0,1.0,0.0,0.0001491367002017796,0.0,0.0,1.4913670383975841e-05,0.05000000074505806
4,1,0.00029999981556180566,6.556209564208984,0.6220983266830444,0.6011136770248413,0.0,0.0,0.0,6.233094215393066,6.462303161621094,0.7591586112976074,0.0005182670429348946,6.556728363037109,nan,0.051826708018779755,0.0012330570025369525,0.04667611047625542,0.05715654417872429,0.0,0.0,0.0,0.0,0.0,0.068756103515625,0.20384368300437927,1.0,1.0,0.0,3.3368594358762493e-06,0.0,0.0,3.336859606406506e-07,0.05000000074505806
5,1,0.00029999973440902417,6.531301975250244,0.6478514671325684,0.6257918477058411,0.0,0.0,0.0,6.208635330200195,6.453329086303711,0.7636262774467468,0.0004336182028055191,6.531739711761475,nan,0.04336182028055191,0.001014421577565372,0.03920488432049751,0.04740538075566292,0.0,0.0,0.0,0.0,0.0,1.0,0.17847242951393127,1.0,1.0,0.0,4.4065440306439996e-05,0.0,0.0,4.40654412159347e-06,0.05000000074505806
6,1,0.00029999963850121047,6.550267219543457,0.664838969707489,0.6457458138465881,0.0,0.0,0.0,6.22805118560791,6.44431734085083,0.7573535442352295,0.00036521643050946295,6.550650596618652,nan,0.03652164340019226,0.0008583809249103069,0.03302304819226265,0.040191859006881714,0.0,0.0,0.0,0.0,0.0,1.0,0.15671716630458832,1.0,1.0,0.0,0.00018166610971093178,0.0,0.0,1.8166610971093178e-05,0.05000000074505806
7,1,0.000299999527838374,6.521854877471924,0.6840986609458923,0.6627967357635498,0.0,0.0,0.0,6.200661659240723,6.423867225646973,0.7564367055892944,0.0003097876033280045,6.522201061248779,nan,0.030978761613368988,0.0007079235510900617,0.02779308333992958,0.03402964770793915,0.0,0.0,0.0,0.0,0.0,1.0,0.13811980187892914,1.0,1.0,0.0,0.0003618075279518962,0.0,0.0,3.618075425038114e-05,0.05000000074505806
8,1,0.0002999994024205256,6.485985279083252,0.7054715156555176,0.6811413764953613,0.0,0.0,0.0,6.166820526123047,6.383294105529785,0.749542236328125,0.00026509712915867567,6.4863057136535645,nan,0.026509713381528854,0.000608883099630475,0.02410774491727352,0.029523370787501335,0.0,0.0,0.0,0.0,0.0,1.0,0.12238473445177078,1.0,1.0,0.0,0.0005517936078831553,0.0,0.0,5.517936006071977e-05,0.05000000074505806
9,1,0.00029999926224767785,6.457871437072754,0.716304361820221,0.687515377998352,0.0,0.0,0.0,6.137172698974609,6.413978576660156,0.7536976337432861,0.00022903858916833997,6.458173751831055,nan,0.022903859615325928,0.0005175608675926924,0.020765122026205063,0.025288624688982964,0.0,0.0,0.0,0.0,0.0,1.0,0.10912882536649704,1.0,1.0,0.0,0.0007342008757404983,0.0,0.0,7.342008757404983e-05,0.05000000074505806
