step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.423833847045898,0.4991360902786255,0.4875202476978302,0.0,0.0,0.0,nan,nan,nan,0.00018553085101302713,6.4241180419921875,nan,0.01855308562517166,0.0009922554017975926,0.015757575631141663,0.02341260015964508,0.0,0.0,0.0,0.0,0.0,1.0,0.0923263281583786,1.0,1.0,0.0,0.0009889084612950683,0.0,0.0,9.88908504950814e-05,0.05000000074505806
1,1,0.0002999999704898838,6.3766303062438965,0.5310075879096985,0.5176378488540649,0.0,0.0,0.0,nan,nan,nan,0.00015961586905177683,6.376905918121338,nan,0.01596158742904663,0.000783089199103415,0.013173071667551994,0.019904829561710358,0.0,0.0,0.0,0.0,0.0,1.0,0.08185622841119766,1.0,1.0,0.0,0.0011586135951802135,0.0,0.0,0.00011586135951802135,0.05000000074505806
2,1,0.00029999993360224126,6.387204170227051,0.5618854761123657,0.5520557165145874,0.0,0.0,0.0,nan,nan,nan,0.00013641241821460426,6.387472629547119,nan,0.013641241937875748,0.000661726575344801,0.01124026719480753,0.01666496880352497,0.0,0.0,0.0,0.0,0.0,1.0,0.07211597263813019,1.0,1.0,0.0,0.0013219593092799187,0.0,0.0,0.00013219592801760882,0.05000000074505806
3,1,0.0002999998819595469,6.35447883605957,0.5972134470939636,0.5871707797050476,0.0,0.0,0.0,nan,nan,nan,0.00011692233238136396,6.354742527008057,nan,0.011692233383655548,0.0005530901253223419,0.009393597021698952,0.014294605702161789,0.0,0.0,0.0,0.0,0.0,1.0,0.06362715363502502,1.0,1.0,0.0,0.0014674850972369313,0.0,0.0,0.00014674851263407618,0.05000000074505806
4,1,0.00029999981556180566,6.352980613708496,0.6242977976799011,0.616910994052887,0.0,0.0,0.0,nan,nan,nan,0.0001003495926852338,6.353240489959717,nan,0.010034959763288498,0.00042702569044195116,0.008731245994567871,0.011937458999454975,0.0,0.0,0.0,0.0,0.0,1.0,0.056152962148189545,1.0,1.0,0.0,0.00159720447845757,0.0,0.0,0.0001597204536665231,0.05000000074505806
5,1,0.00029999973440902417,6.296819686889648,0.6539600491523743,0.6418975591659546,0.0,0.0,0.0,nan,nan,nan,8.682284533279017e-05,6.297077178955078,nan,0.008682284504175186,0.00035143844434060156,0.007259041536599398,0.01023815106600523,0.0,0.0,0.0,0.0,0.0,1.0,0.04984752833843231,1.0,1.0,0.0,0.0017071536276489496,0.0,0.0,0.0001707153714960441,0.05000000074505806
6,1,0.00029999963850121047,6.216597557067871,0.6835386753082275,0.6660552620887756,0.0,0.0,0.0,nan,nan,nan,7.544326217612252e-05,6.216853141784668,nan,0.00754432613030076,0.0002911680785473436,0.006530305836349726,0.008956003934144974,0.0,0.0,0.0,0.0,0.0,1.0,0.044378966093063354,1.0,1.0,0.0,0.0018024841556325555,0.0,0.0,0.0001802484184736386,0.05000000074505806
7,1,0.000299999527838374,6.246993064880371,0.7016138434410095,0.6889048218727112,0.0,0.0,0.0,nan,nan,nan,6.583071808563545e-05,6.247247219085693,nan,0.006583072245121002,0.0002570456999819726,0.0055931624956429005,0.007540990132838488,0.0,0.0,0.0,0.0,0.0,1.0,0.039624739438295364,1.0,1.0,0.0,0.0018850297201424837,0.0,0.0,0.00018850297783501446,0.05000000074505806
8,1,0.0002999994024205256,6.1547088623046875,0.7301598787307739,0.7090535163879395,0.0,0.0,0.0,nan,nan,nan,5.840766243636608e-05,6.154962062835693,nan,0.005840766243636608,0.00021663442021235824,0.00514925317838788,0.00680575892329216,0.0,0.0,0.0,0.0,0.0,1.0,0.03585807606577873,1.0,1.0,0.0,0.0019500378984957933,0.0,0.0,0.00019500379858072847,0.05000000074505806
9,1,0.00029999926224767785,6.180816173553467,0.7364920377731323,0.7180074453353882,0.0,0.0,0.0,nan,nan,nan,5.142462396179326e-05,6.1810688972473145,nan,0.0051424624398350716,0.00018708428251557052,0.004540910013020039,0.006060453597456217,0.0,0.0,0.0,0.0,0.0,1.0,0.03222772851586342,1.0,1.0,0.0,0.00201219879090786,0.0,0.0,0.00020121988200116903,0.05000000074505806
