step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.340152740478516,0.3382958173751831,0.31198206543922424,0.0,0.0,0.0,nan,nan,nan,0.0004909301642328501,6.340643882751465,nan,0.04909301549196243,0.0033806636929512024,0.03795841336250305,0.0657966136932373,0.0,0.0,0.0,0.0,0.0,0.62152099609375,0.1957140564918518,1.0,1.0,0.0,8.22622268970008e-07,0.0,0.0,8.226222547591533e-08,0.05000000074505806
1,1,0.0002999999704898838,6.20878791809082,0.3843379020690918,0.3443678617477417,0.0,0.0,0.0,nan,nan,nan,0.00042187070357613266,6.209216117858887,nan,0.04218707233667374,0.0028549914713948965,0.03197929635643959,0.05397171154618263,0.0,0.0,0.0,0.0,0.0,0.9960174560546875,0.1747327446937561,1.0,1.0,0.0,6.104185013100505e-05,0.0,0.0,6.104185104049975e-06,0.05000000074505806
2,1,0.00029999993360224126,6.125105381011963,0.41985228657722473,0.36768174171447754,0.0,0.0,0.0,nan,nan,nan,0.0003569186374079436,6.12548303604126,nan,0.03569186478853226,0.0022222225088626146,0.02789372205734253,0.0445328988134861,0.0,0.0,0.0,0.0,0.0,1.0,0.15393050014972687,1.0,1.0,0.0,0.00020472276082728058,0.0,0.0,2.047227644652594e-05,0.05000000074505806
3,1,0.0002999998819595469,6.111684799194336,0.44637978076934814,0.3903665840625763,0.0,0.0,0.0,nan,nan,nan,0.00030449137557297945,6.112027645111084,nan,0.030449137091636658,0.002195515437051654,0.023245036602020264,0.038174375891685486,0.0,0.0,0.0,0.0,0.0,1.0,0.13621819019317627,1.0,1.0,0.0,0.00038223626324906945,0.0,0.0,3.822362850769423e-05,0.05000000074505806
4,1,0.00029999981556180566,5.771914482116699,0.5041691064834595,0.4048372805118561,0.0,0.0,0.0,nan,nan,nan,0.0002595656842458993,5.772231578826904,nan,0.025956569239497185,0.001804487663321197,0.019330177456140518,0.03349993750452995,0.0,0.0,0.0,0.0,0.0,1.0,0.12032860517501831,1.0,1.0,0.0,0.0005780865903943777,0.0,0.0,5.780865831184201e-05,0.05000000074505806
5,1,0.00029999973440902417,5.825436592102051,0.5178353190422058,0.4136212170124054,0.0,0.0,0.0,nan,nan,nan,0.00022355277906171978,5.8257365226745605,nan,0.022355278953909874,0.0015010243514552712,0.01745200902223587,0.029276300221681595,0.0,0.0,0.0,0.0,0.0,1.0,0.10701761394739151,1.0,1.0,0.0,0.0007642306154593825,0.0,0.0,7.64230644563213e-05,0.05000000074505806
6,1,0.00029999963850121047,5.600003242492676,0.5640923976898193,0.42215022444725037,0.0,0.0,0.0,nan,nan,nan,0.0001933186867972836,5.600290298461914,nan,0.01933186873793602,0.001322035095654428,0.014335690066218376,0.027080116793513298,0.0,0.0,0.0,0.0,0.0,1.0,0.09538142383098602,1.0,1.0,0.0,0.0009405343444086611,0.0,0.0,9.405343735124916e-05,0.05000000074505806
7,1,0.000299999527838374,5.539189338684082,0.5854960680007935,0.4209250807762146,0.0,0.0,0.0,nan,nan,nan,0.0001671019708737731,5.539466857910156,nan,0.016710197553038597,0.001188055844977498,0.012429507449269295,0.02212831750512123,0.0,0.0,0.0,0.0,0.0,1.0,0.08490048348903656,1.0,1.0,0.0,0.0011082111159339547,0.0,0.0,0.00011082111450377852,0.05000000074505806
8,1,0.0002999994024205256,5.480499267578125,0.6047349572181702,0.4228210747241974,0.0,0.0,0.0,nan,nan,nan,0.0001457238831790164,5.480770587921143,nan,0.014572388492524624,0.0010422705672681332,0.010601352900266647,0.018612107262015343,0.0,0.0,0.0,0.0,0.0,1.0,0.0760490819811821,1.0,1.0,0.0,0.0012551156105473638,0.0,0.0,0.00012551156396511942,0.05000000074505806
9,1,0.00029999926224767785,5.282961845397949,0.6371753811836243,0.41966307163238525,0.0,0.0,0.0,nan,nan,nan,0.00012843156582675874,5.283228397369385,nan,0.012843157164752483,0.0009619688498787582,0.009882058016955853,0.017489004880189896,0.0,0.0,0.0,0.0,0.0,1.0,0.06865527480840683,1.0,1.0,0.0,0.0013806310016661882,0.0,0.0,0.00013806310016661882,0.05000000074505806
10,1,0.0002999991073198443,5.297383785247803,0.6500993967056274,0.4118732213973999,0.0,0.0,0.0,nan,nan,nan,0.00011378604540368542,5.297646999359131,nan,0.011378604918718338,0.0007964993710629642,0.008764440193772316,0.014534623362123966,0.0,0.0,0.0,0.0,0.0,1.0,0.06221630051732063,1.0,1.0,0.0,0.0014916121726855636,0.0,0.0,0.0001491612201789394,0.05000000074505806
11,1,0.0002999989376370405,5.263187408447266,0.6592060327529907,0.4123435914516449,0.0,0.0,0.0,nan,nan,nan,0.00010081352229462937,5.263447284698486,nan,0.010081352666020393,0.0007277948898263276,0.007840242236852646,0.013493300415575504,0.0,0.0,0.0,0.0,0.0,1.0,0.056348588317632675,1.0,1.0,0.0,0.0015934982802718878,0.0,0.0,0.00015934983093757182,0.05000000074505806
12,1,0.00029999875319928305,5.289475440979004,0.667212724685669,0.41186994314193726,0.0,0.0,0.0,nan,nan,nan,8.996600081445649e-05,5.28973388671875,nan,0.008996600285172462,0.0006834649830125272,0.006718271411955357,0.012382110580801964,0.0,0.0,0.0,0.0,0.0,1.0,0.05131204426288605,1.0,1.0,0.0,0.0016812786925584078,0.0,0.0,0.00016812786634545773,0.05000000074505806
13,1,0.0002999985540065902,5.212087631225586,0.6799769997596741,0.4135345220565796,0.0,0.0,0.0,nan,nan,nan,8.115248783724383e-05,5.212344169616699,nan,0.008115248754620552,0.0005979098496027291,0.006218855269253254,0.010590915568172932,0.0,0.0,0.0,0.0,0.0,1.0,0.04712695628404617,1.0,1.0,0.0,0.0017543323338031769,0.0,0.0,0.0001754332333803177,0.05000000074505806
14,1,0.0002999983400589816,5.113558292388916,0.699072003364563,0.40812599658966064,0.0,0.0,0.0,nan,nan,nan,7.331735832849517e-05,5.113813877105713,nan,0.007331735920161009,0.0005528563051484525,0.005577427800744772,0.010128695517778397,0.0,0.0,0.0,0.0,0.0,1.0,0.043323319405317307,1.0,1.0,0.0,0.0018205808009952307,0.0,0.0,0.00018205808009952307,0.05000000074505806
15,1,0.0002999981113564784,5.017989158630371,0.7158402800559998,0.4063442349433899,0.0,0.0,0.0,nan,nan,nan,6.730052700731903e-05,5.018243789672852,nan,0.006730052642524242,0.000508985307533294,0.005076006054878235,0.008468021638691425,0.0,0.0,0.0,0.0,0.0,1.0,0.040346093475818634,1.0,1.0,0.0,0.0018722882959991693,0.0,0.0,0.0001872288266895339,0.05000000074505806
16,1,0.0002999978678991031,5.045085906982422,0.7188183069229126,0.40900886058807373,0.0,0.0,0.0,nan,nan,nan,6.175132875796407e-05,5.045340061187744,nan,0.006175132934004068,0.0004518151399679482,0.004757339600473642,0.007797864731401205,0.0,0.0,0.0,0.0,0.0,1.0,0.037553686648607254,1.0,1.0,0.0,0.0019206189317628741,0.0,0.0,0.00019206189608667046,0.05000000074505806
17,1,0.0002999976096868798,5.091615676879883,0.7146832942962646,0.411027729511261,0.0,0.0,0.0,nan,nan,nan,5.705593866878189e-05,5.091868877410889,nan,0.005705594085156918,0.00044484907994046807,0.00435584457591176,0.007405905518680811,0.0,0.0,0.0,0.0,0.0,1.0,0.035148728638887405,1.0,1.0,0.0,0.0019619944505393505,0.0,0.0,0.000196199442143552,0.05000000074505806
18,1,0.00029999733671983396,4.951214790344238,0.732101559638977,0.41096994280815125,0.0,0.0,0.0,nan,nan,nan,5.324944868334569e-05,4.951467990875244,nan,0.005324944853782654,0.00038909330032765865,0.004072957206517458,0.006865293253213167,0.0,0.0,0.0,0.0,0.0,1.0,0.03317442536354065,1.0,1.0,0.0,0.0019958605989813805,0.0,0.0,0.00019958606571890414,0.05000000074505806
19,1,0.0002999970489979925,4.979178428649902,0.7232540845870972,0.40948203206062317,0.0,0.0,0.0,nan,nan,nan,4.930899740429595e-05,4.979430675506592,nan,0.004930899944156408,0.00038049081922508776,0.003818598808720708,0.00636679120361805,0.0,0.0,0.0,0.0,0.0,1.0,0.031098078936338425,1.0,1.0,0.0,0.0020312240812927485,0.0,0.0,0.00020312241395004094,0.05000000074505806
