step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,6.128213405609131,nan,nan,0.5,0.5,0.0,5.8011674880981445,6.540916919708252,0.7706317901611328,0.005337859503924847,6.133551120758057,nan
1,1,0.0002999999704898838,6.0455002784729,nan,nan,0.5,0.5,0.0,5.722184658050537,6.466312408447266,0.7611134052276611,0.005329246632754803,6.0508294105529785,nan
2,1,0.00029999993360224126,6.182488918304443,nan,nan,0.5,0.5,0.0,5.856182098388672,6.5261335372924805,0.7648605108261108,0.005320029798895121,6.187808990478516,nan
3,1,0.0002999998819595469,6.002256393432617,nan,nan,0.5,0.5,0.0,5.678515911102295,6.4748125076293945,0.7605184316635132,0.005312003195285797,6.007568359375,nan
4,1,0.00029999981556180566,5.931865215301514,nan,nan,0.5,0.5,0.0,5.6096720695495605,6.443866729736328,0.7567471265792847,0.005304641555994749,5.937170028686523,nan
5,1,0.00029999973440902417,5.979426860809326,nan,nan,0.5,0.5,0.0,5.6526079177856445,6.536376953125,0.7631939649581909,0.005296309944242239,5.984723091125488,nan
6,1,0.00029999963850121047,5.904701232910156,nan,nan,0.5,0.5,0.0,5.584731101989746,6.399399757385254,0.750778079032898,0.0052890353836119175,5.909990310668945,nan
7,1,0.000299999527838374,5.845043182373047,nan,nan,0.5,0.5,0.0,5.523249626159668,6.435871124267578,0.7545406818389893,0.005281281191855669,5.850324630737305,nan
8,1,0.0002999994024205256,5.8221893310546875,nan,nan,0.5,0.5,0.0,5.500556945800781,6.432644367218018,0.7496437430381775,0.0052741169929504395,5.827463626861572,nan
9,1,0.00029999926224767785,5.832217693328857,nan,nan,0.5,0.5,0.0,5.5125885009765625,6.392585754394531,0.7490270137786865,0.005266527645289898,5.837484359741211,nan
10,1,0.0002999991073198443,5.814475059509277,nan,nan,0.5,0.5,0.0,5.49397087097168,6.410088539123535,0.755473256111145,0.0052595073357224464,5.819734573364258,nan
11,1,0.0002999989376370405,5.793992042541504,nan,nan,0.5,0.5,0.0,5.474008083343506,6.399680137634277,0.7488765120506287,0.0052527389489114285,5.7992448806762695,nan
12,1,0.00029999875319928305,5.8013105392456055,nan,nan,0.5,0.5,0.0,5.482558727264404,6.3750319480896,0.7434757947921753,0.005244936794042587,5.806555271148682,nan
13,1,0.0002999985540065902,5.774227619171143,nan,nan,0.5,0.5,0.0,5.456605911254883,6.352435111999512,0.7419041395187378,0.005237086676061153,5.7794647216796875,nan
14,1,0.0002999983400589816,5.746592998504639,nan,nan,0.5,0.5,0.0,5.422983169555664,6.472194194793701,0.7544082403182983,0.005229632370173931,5.751822471618652,nan
15,1,0.0002999981113564784,5.67276668548584,nan,nan,0.5,0.5,0.0,5.355358600616455,6.34815788269043,0.7404763698577881,0.005221441388130188,5.677988052368164,nan
16,1,0.0002999978678991031,5.671781063079834,nan,nan,0.5,0.5,0.0,5.348762035369873,6.460379123687744,0.7539293766021729,0.005213167518377304,5.676994323730469,nan
17,1,0.0002999976096868798,5.618484020233154,nan,nan,0.5,0.5,0.0,5.298161506652832,6.40644645690918,0.7472600340843201,0.005204333923757076,5.623688220977783,nan
