step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.492280960083008,0.4900003671646118,0.48413321375846863,0.0,0.0,0.0,6.492280960083008,6.540916919708252,0.7706317901611328,0.00048326104297302663,6.492764472961426,nan,0.04832610487937927,0.00023675007105339319,0.04741714894771576,0.0494241937994957,0.0,0.0,0.0,0.0,0.0,1.0,0.19355612993240356,1.0,1.0,0.0,2.8019273941026768e-06,0.0,0.0,2.8019275077895145e-07,0.05000000074505806
1,1,0.0002999999704898838,6.4138946533203125,0.5425655841827393,0.5327093601226807,0.0,0.0,0.0,6.4138946533203125,6.470952987670898,0.7626155614852905,0.00048189758672378957,6.414377212524414,nan,0.048189759254455566,0.0002249951648991555,0.047196388244628906,0.04901231452822685,0.0,0.0,0.0,0.0,0.0,1.0,0.1931496560573578,1.0,1.0,0.0,3.2769742119853618e-06,0.0,0.0,3.276974211985362e-07,0.05000000074505806
2,1,0.00029999993360224126,6.49184513092041,0.5548700094223022,0.5543152093887329,0.0,0.0,0.0,6.49184513092041,6.567696571350098,0.773762583732605,0.00048026462900452316,6.492325782775879,nan,0.04802646487951279,0.00021929485956206918,0.047103919088840485,0.04894067719578743,0.0,0.0,0.0,0.0,0.0,1.0,0.19266223907470703,1.0,1.0,0.0,3.894843757734634e-06,0.0,0.0,3.894843700891215e-07,0.05000000074505806
3,1,0.0002999998819595469,6.379164695739746,0.6037207245826721,0.5963457226753235,0.0,0.0,0.0,6.379164695739746,6.463616371154785,0.7594206929206848,0.0004790326929651201,6.379644393920898,nan,0.04790326952934265,0.00020538084208965302,0.04707590863108635,0.048857271671295166,0.0,0.0,0.0,0.0,0.0,1.0,0.192294180393219,1.0,1.0,0.0,4.396281838126015e-06,0.0,0.0,4.3962819518128526e-07,0.05000000074505806
4,1,0.00029999981556180566,6.388082027435303,0.6361407041549683,0.6325868368148804,0.0,0.0,0.0,6.388082027435303,6.455330848693848,0.7597726583480835,0.0004776824207510799,6.3885602951049805,nan,0.0477682426571846,0.00019726612663362175,0.046901967376470566,0.04852892830967903,0.0,0.0,0.0,0.0,0.0,1.0,0.19189035892486572,1.0,1.0,0.0,4.980744051863439e-06,0.0,0.0,4.980744279237115e-07,0.05000000074505806
5,1,0.00029999973440902417,6.270114898681641,0.6740584373474121,0.6614702343940735,0.0,0.0,0.0,6.270114898681641,6.513983726501465,0.7583324909210205,0.0004762174794450402,6.270591735839844,nan,0.047621749341487885,0.0001844533544499427,0.04685986414551735,0.04841822758316994,0.0,0.0,0.0,0.0,0.0,1.0,0.1914517879486084,1.0,1.0,0.0,5.656079792970559e-06,0.0,0.0,5.656079906657396e-07,0.05000000074505806
6,1,0.00029999963850121047,6.347663402557373,0.6841141581535339,0.6804900169372559,0.0,0.0,0.0,6.347663402557373,6.4413042068481445,0.7556742429733276,0.000475015927804634,6.348138809204102,nan,0.047501593828201294,0.00018379207176622003,0.046603091061115265,0.04835081472992897,0.0,0.0,0.0,0.0,0.0,1.0,0.19109171628952026,1.0,1.0,0.0,6.242037215997698e-06,0.0,0.0,6.242037215997698e-07,0.05000000074505806
7,1,0.000299999527838374,6.2251057624816895,0.719249427318573,0.7052255272865295,0.0,0.0,0.0,6.2251057624816895,6.435445785522461,0.7538977861404419,0.0004737558774650097,6.225580215454102,nan,0.04737558960914612,0.00017785903764888644,0.046637944877147675,0.048118144273757935,0.0,0.0,0.0,0.0,0.0,1.0,0.19071373343467712,1.0,1.0,0.0,6.8875338001817e-06,0.0,0.0,6.887534027555375e-07,0.05000000074505806
8,1,0.0002999994024205256,6.202197551727295,0.7387734055519104,0.7234230637550354,0.0,0.0,0.0,6.202197551727295,6.484819412231445,0.7546402215957642,0.0004727136984001845,6.202671051025391,nan,0.04727137088775635,0.00017006784037221223,0.046526554971933365,0.04798486828804016,0.0,0.0,0.0,0.0,0.0,1.0,0.1904008835554123,1.0,1.0,0.0,7.44542103348067e-06,0.0,0.0,7.445420919793833e-07,0.05000000074505806
9,1,0.00029999926224767785,6.187248706817627,0.756351113319397,0.7399278283119202,0.0,0.0,0.0,6.187248706817627,6.440237522125244,0.749321699142456,0.00047127186553552747,6.187720775604248,nan,0.04712718725204468,0.0001678842236287892,0.04643190652132034,0.04776260629296303,0.0,0.0,0.0,0.0,0.0,1.0,0.18996760249137878,1.0,1.0,0.0,8.253057785623241e-06,0.0,0.0,8.253057899310079e-07,0.05000000074505806
