step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,5.668310165405273,nan,nan,0.5,0.5,0.0,5.668310165405273,6.405704021453857,0.7577298879623413,0.0054138726554811,5.673724174499512,nan
1,1,0.0002999999704898838,5.722955226898193,nan,nan,0.5,0.5,0.0,5.722955226898193,6.476914405822754,0.765786349773407,0.005408513359725475,5.728363513946533,nan
2,1,0.00029999993360224126,5.651026248931885,nan,nan,0.5,0.5,0.0,5.651026248931885,6.4541521072387695,0.7627457976341248,0.005401448346674442,5.65642786026001,nan
3,1,0.0002999998819595469,5.656333923339844,nan,nan,0.5,0.5,0.0,5.656333923339844,6.5487060546875,0.7680710554122925,0.0053952825255692005,5.661729335784912,nan
4,1,0.00029999981556180566,5.609824180603027,nan,nan,0.5,0.5,0.0,5.609824180603027,6.551410675048828,0.770855188369751,0.005389224272221327,5.615213394165039,nan
5,1,0.00029999973440902417,5.532454490661621,nan,nan,0.5,0.5,0.0,5.532454490661621,6.416053771972656,0.7519544363021851,0.005382935982197523,5.537837505340576,nan
6,1,0.00029999963850121047,5.476800918579102,nan,nan,0.5,0.5,0.0,5.476800918579102,6.492006301879883,0.7591008543968201,0.005378047004342079,5.482179164886475,nan
7,1,0.000299999527838374,5.521425247192383,nan,nan,0.5,0.5,0.0,5.521425247192383,6.4556355476379395,0.7586077451705933,0.005372552666813135,5.526797771453857,nan
8,1,0.0002999994024205256,5.487157821655273,nan,nan,0.5,0.5,0.0,5.487157821655273,6.362151145935059,0.7470359802246094,0.005367109086364508,5.492525100708008,nan
9,1,0.00029999926224767785,5.4618024826049805,nan,nan,0.5,0.5,0.0,5.4618024826049805,6.476648330688477,0.7576469779014587,0.005362894851714373,5.467165470123291,nan
10,1,0.0002999991073198443,5.411803245544434,nan,nan,0.5,0.5,0.0,5.411803245544434,6.463330268859863,0.7563449144363403,0.0053565846756100655,5.4171600341796875,nan
11,1,0.0002999989376370405,5.396303176879883,nan,nan,0.5,0.5,0.0,5.396303176879883,6.459438800811768,0.757338285446167,0.00535076018422842,5.40165376663208,nan
12,1,0.00029999875319928305,5.355496406555176,nan,nan,0.5,0.5,0.0,5.355496406555176,6.451117038726807,0.7588925361633301,0.005345089361071587,5.360841274261475,nan
13,1,0.0002999985540065902,5.335044860839844,nan,nan,0.5,0.5,0.0,5.335044860839844,6.401474475860596,0.7526310682296753,0.005338979419320822,5.340384006500244,nan
14,1,0.0002999983400589816,5.307102680206299,nan,nan,0.5,0.5,0.0,5.307102680206299,6.428406715393066,0.75586998462677,0.005333293695002794,5.312436103820801,nan
15,1,0.0002999981113564784,5.21480655670166,nan,nan,0.5,0.5,0.0,5.21480655670166,6.398578643798828,0.7579233646392822,0.00532779935747385,5.220134258270264,nan
16,1,0.0002999978678991031,5.304524898529053,nan,nan,0.5,0.5,0.0,5.304524898529053,6.391834259033203,0.7607531547546387,0.0053217289969325066,5.3098464012146,nan
17,1,0.0002999976096868798,5.258469581604004,nan,nan,0.5,0.5,0.0,5.258469581604004,6.354774475097656,0.7551878690719604,0.005315735004842281,5.263785362243652,nan
18,1,0.00029999733671983396,5.175589561462402,nan,nan,0.5,0.5,0.0,5.175589561462402,6.275237083435059,0.7490147352218628,0.005309854634106159,5.180899620056152,nan
19,1,0.0002999970489979925,5.121786117553711,nan,nan,0.5,0.5,0.0,5.121786117553711,6.337167263031006,0.7553829550743103,0.0053033167496323586,5.127089500427246,nan
20,1,0.00029999674652138385,5.114798069000244,nan,nan,0.5,0.5,0.0,5.114798069000244,6.273897647857666,0.7516528367996216,0.005298038478940725,5.120096206665039,nan
21,1,0.00029999642929003784,5.146247863769531,nan,nan,0.5,0.5,0.0,5.146247863769531,6.323999404907227,0.757109522819519,0.005291007459163666,5.151538848876953,nan
22,1,0.0002999960973039858,5.118045330047607,nan,nan,0.5,0.5,0.0,5.118045330047607,6.358713150024414,0.7648459076881409,0.005284809973090887,5.123330116271973,nan
23,1,0.00029999575056326047,5.062256336212158,nan,nan,0.5,0.5,0.0,5.062256336212158,6.27567720413208,0.7569398880004883,0.005277638789266348,5.06753396987915,nan
24,1,0.00029999538906789607,5.008245468139648,nan,nan,0.5,0.5,0.0,5.008245468139648,6.37730598449707,0.7684632539749146,0.00527184596285224,5.013517379760742,nan
25,1,0.0002999950128179283,5.005558013916016,nan,nan,0.5,0.5,0.0,5.005558013916016,6.288485050201416,0.756752073764801,0.0052640438079833984,5.010822296142578,nan
26,1,0.0002999946218133943,5.113103866577148,nan,nan,0.5,0.5,0.0,5.113103866577148,6.365379333496094,0.7695294618606567,0.005258594173938036,5.1183624267578125,nan
27,1,0.0002999942160543326,5.0194501876831055,nan,nan,0.5,0.5,0.0,5.0194501876831055,6.214059829711914,0.7541558146476746,0.005251193419098854,5.0247015953063965,nan
28,1,0.00029999379554078334,5.023614883422852,nan,nan,0.5,0.5,0.0,5.023614883422852,6.237528324127197,0.7570139765739441,0.005243770778179169,5.028858661651611,nan
29,1,0.000299993360272788,4.933175563812256,nan,nan,0.5,0.5,0.0,4.933175563812256,6.230669021606445,0.7577947974205017,0.005237377714365721,4.938413143157959,nan
30,1,0.00029999291025038945,4.966238021850586,nan,nan,0.5,0.5,0.0,4.966238021850586,6.259857177734375,0.7601556777954102,0.005229191854596138,4.971467018127441,nan
31,1,0.00029999244547363217,4.786101818084717,nan,nan,0.5,0.5,0.0,4.786101818084717,6.252460956573486,0.7633576989173889,0.005221236031502485,4.791323184967041,nan
32,1,0.0002999919659425621,4.852663516998291,nan,nan,0.5,0.5,0.0,4.852663516998291,6.163271427154541,0.7539728879928589,0.005212720949202776,4.857876300811768,nan
33,1,0.00029999147165722645,4.901100158691406,nan,nan,0.5,0.5,0.0,4.901100158691406,6.153773784637451,0.7572886943817139,0.005204538814723492,4.906304836273193,nan
34,1,0.0002999909626176741,4.8702545166015625,nan,nan,0.5,0.5,0.0,4.8702545166015625,6.225560188293457,0.7627958059310913,0.005194779485464096,4.875449180603027,nan
35,1,0.0002999904388239552,4.708477020263672,nan,nan,0.5,0.5,0.0,4.708477020263672,6.130084037780762,0.7514851093292236,0.005186072550714016,4.713663101196289,nan
36,1,0.0002999899002761215,4.701517105102539,nan,nan,0.5,0.5,0.0,4.701517105102539,6.145565986633301,0.7607893347740173,0.005176178645342588,4.706693172454834,nan
37,1,0.0002999893469742262,4.7317657470703125,nan,nan,0.5,0.5,0.0,4.7317657470703125,6.107786178588867,0.7563806772232056,0.005164752714335918,4.7369303703308105,nan
38,1,0.00029998877891832383,4.736295700073242,nan,nan,0.5,0.5,0.0,4.736295700073242,6.120219707489014,0.7592940926551819,0.0051554418168962,4.741451263427734,nan
39,1,0.0002999881961084705,4.719905853271484,nan,nan,0.5,0.5,0.0,4.719905853271484,6.120474815368652,0.7599443793296814,0.005145183764398098,4.725050926208496,nan
40,1,0.00029998759854472364,4.741200923919678,nan,nan,0.5,0.5,0.0,4.741200923919678,6.135531425476074,0.7607304453849792,0.005133402068167925,4.746334552764893,nan
41,1,0.00029998698622714235,4.715481281280518,nan,nan,0.5,0.5,0.0,4.715481281280518,6.115096092224121,0.7599179744720459,0.005122997798025608,4.720604419708252,nan
42,1,0.000299986359155787,4.689597129821777,nan,nan,0.5,0.5,0.0,4.689597129821777,6.190859794616699,0.7717447876930237,0.005112569313496351,4.694709777832031,nan
43,1,0.00029998571733071946,4.5677361488342285,nan,nan,0.5,0.5,0.0,4.5677361488342285,6.0213751792907715,0.7568076848983765,0.0051013994961977005,4.5728373527526855,nan
44,1,0.00029998506075200315,4.440633773803711,nan,nan,0.49999967217445374,0.5,0.0,4.440633773803711,6.0754618644714355,0.7615025639533997,0.005089765880256891,4.445723533630371,nan
45,1,0.0002999843894197028,4.550334453582764,nan,nan,0.49999693036079407,0.5,0.0,4.550334453582764,6.073300361633301,0.7649622559547424,0.005078392568975687,4.555412769317627,nan
46,1,0.00029998370333388465,4.649252891540527,nan,nan,0.4999636113643646,0.5,0.0,4.649252891540527,6.044192790985107,0.7600853443145752,0.005067295860499144,4.654320240020752,nan
47,1,0.0002999830024946165,4.4969682693481445,nan,nan,0.4998469948768616,0.5,0.0,4.4969682693481445,6.0920562744140625,0.7643171548843384,0.0050546894781291485,4.502022743225098,nan
48,1,0.00029998228690196753,4.49779748916626,nan,nan,0.4996911585330963,0.5,0.0,4.49779748916626,6.111699104309082,0.7693123817443848,0.005044963676482439,4.502842426300049,nan
49,1,0.00029998155655600826,4.443026065826416,nan,nan,0.49962228536605835,0.5,0.0,4.443026065826416,6.1124467849731445,0.7695692777633667,0.005041392985731363,4.448067665100098,nan
50,1,0.0002999808114568108,4.4791789054870605,nan,nan,0.49958476424217224,0.5,0.0,4.4791789054870605,6.068422317504883,0.7649880051612854,0.0050400663167238235,4.484219074249268,nan
51,1,0.0002999800516044487,4.432798862457275,nan,nan,0.49972987174987793,0.5,0.0,4.432798862457275,5.962690830230713,0.7557289004325867,0.005044804885983467,4.4378437995910645,nan
52,1,0.00029997927699899706,4.475778579711914,nan,nan,0.4998580515384674,0.5,0.0,4.475778579711914,6.057294845581055,0.7654972672462463,0.00504994485527277,4.480828762054443,nan
53,1,0.00029997848764053224,4.498122215270996,nan,nan,0.4998937249183655,0.5,0.0,4.498122215270996,5.998429298400879,0.7591677308082581,0.005052962340414524,4.503175258636475,nan
54,1,0.0002999776835291321,4.420355796813965,nan,nan,0.49993395805358887,0.5,0.0,4.420355796813965,6.094988822937012,0.7727354764938354,0.005055034067481756,4.425410747528076,nan
55,1,0.0002999768646648761,4.46183967590332,nan,nan,0.49998074769973755,0.5,0.0,4.46183967590332,6.090685844421387,0.7711403369903564,0.005061722826212645,4.4669013023376465,nan
56,1,0.00029997603104784493,4.4351677894592285,nan,nan,0.4999803304672241,0.5,0.0,4.4351677894592285,5.994374752044678,0.7584840059280396,0.005060931202024221,4.4402289390563965,nan
57,1,0.00029997518267812096,4.314138412475586,nan,nan,0.4999845325946808,0.5,0.0,4.314138412475586,5.979759693145752,0.7616351842880249,0.005062413867563009,4.3192009925842285,nan
58,1,0.0002999743195557879,4.4300103187561035,nan,nan,0.49998781085014343,0.5,0.0,4.4300103187561035,5.931037902832031,0.7539952397346497,0.00506191560998559,4.435072422027588,nan
59,1,0.00029997344168093096,4.342965602874756,nan,nan,0.49998319149017334,0.5,0.0,4.342965602874756,5.882846832275391,0.7497009634971619,0.005059597548097372,4.348025321960449,nan
60,1,0.0002999725490536368,4.327732086181641,nan,nan,0.4999799430370331,0.5,0.0,4.327732086181641,5.843488693237305,0.7467547059059143,0.00505882827565074,4.332790851593018,nan
61,1,0.0002999716416739934,4.282569885253906,nan,nan,0.49997439980506897,0.5,0.0,4.282569885253906,5.948019027709961,0.7585383653640747,0.005055693443864584,4.287625789642334,nan
62,1,0.0002999707195420905,4.299973487854004,nan,nan,0.4999563992023468,0.5,0.0,4.299973487854004,5.9762043952941895,0.7645031213760376,0.0050528813153505325,4.305026531219482,nan
63,1,0.00029996978265801893,4.343469619750977,nan,nan,0.4999452531337738,0.5,0.0,4.343469619750977,6.018456935882568,0.7678595781326294,0.005050873849540949,4.348520278930664,nan
64,1,0.0002999688310218713,4.232228755950928,nan,nan,0.49993014335632324,0.5,0.0,4.232228755950928,5.968270301818848,0.7607425451278687,0.005046510603278875,4.237275123596191,nan
65,1,0.0002999678646337414,4.292850017547607,nan,nan,0.499880850315094,0.5,0.0,4.292850017547607,5.978989124298096,0.7675046324729919,0.0050426688976585865,4.2978925704956055,nan
66,1,0.00029996688349372467,4.2795257568359375,nan,nan,0.49982860684394836,0.5,0.0,4.2795257568359375,5.968122482299805,0.7643260359764099,0.005038346163928509,4.284564018249512,nan
67,1,0.000299965887601918,4.1964111328125,nan,nan,0.49983054399490356,0.5,0.0,4.1964111328125,5.849700927734375,0.7531149387359619,0.0050367615185678005,4.2014479637146,nan
68,1,0.00029996487695841957,4.185886383056641,nan,nan,0.4997350573539734,0.5,0.0,4.185886383056641,5.93572998046875,0.7639090418815613,0.005033476743847132,4.190919876098633,nan
69,1,0.0002999638515633292,4.250511646270752,nan,nan,0.49974536895751953,0.5,0.0,4.250511646270752,6.053737640380859,0.7743325233459473,0.005031253211200237,4.255542755126953,nan
