step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha,p_fn_raw_mean,p_fn_raw_std,p_fn_raw_min,p_fn_raw_max,p_fn_clipped_mean,p_fn_clipped_std,p_fn_clipped_min,p_fn_clipped_max,p_fn_at_cap_fraction,p_fn_near_zero_fraction,p_fn_entropy_mean,effective_neg_weight_mean,effective_neg_weight_min,max_fn_weight_current,loss_pfn_mean,loss_pfn_cap,loss_pfn_entropy,pfn_reg_total,target_pfn_mean
0,1,0.0002999999926224707,6.359118461608887,0.502350389957428,0.48360881209373474,0.0,0.0,0.0,6.359118461608887,6.405704021453857,0.7577298879623413,0.0005204271874390543,6.3596391677856445,nan,0.05204272270202637,0.00018569811072666198,0.05129874125123024,0.05292021110653877,0.0,0.0,0.0,0.0,0.0,0.0,0.2044862061738968,1.0,1.0,0.0,4.17271303376765e-06,0.0,0.0,4.172713090611069e-07,0.05000000074505806
1,1,0.0002999999704898838,6.410793304443359,0.5261051654815674,0.5146394968032837,0.0,0.0,0.0,6.410793304443359,6.469709873199463,0.7649754881858826,0.0005194903933443129,6.411313056945801,nan,0.05194903910160065,0.00018080313748214394,0.05129082500934601,0.05270260199904442,0.0,0.0,0.0,0.0,0.0,0.0,0.20421423017978668,1.0,1.0,0.0,3.798750412897789e-06,0.0,0.0,3.798750469741208e-07,0.05000000074505806
2,1,0.00029999993360224126,6.326231956481934,0.5622317790985107,0.5443746447563171,0.0,0.0,0.0,6.326231956481934,6.43243408203125,0.7608900666236877,0.000518193410243839,6.326750755310059,nan,0.051819343119859695,0.00016373812104575336,0.051112495362758636,0.05252058431506157,0.0,0.0,0.0,0.0,0.0,0.0,0.20383746922016144,1.0,1.0,0.0,3.3100066048064036e-06,0.0,0.0,3.31000677533666e-07,0.05000000074505806
3,1,0.0002999998819595469,6.338222503662109,0.5934924483299255,0.5803305506706238,0.0,0.0,0.0,6.338222503662109,6.480843544006348,0.763028621673584,0.0005170732038095593,6.33873987197876,nan,0.05170731991529465,0.00016622498515062034,0.051048923283815384,0.05246115103363991,0.0,0.0,0.0,0.0,0.0,0.0,0.20351170003414154,1.0,1.0,0.0,2.914938704634551e-06,0.0,0.0,2.91493876147797e-07,0.05000000074505806
4,1,0.00029999981556180566,6.272015571594238,0.6206252574920654,0.6017335653305054,0.0,0.0,0.0,6.272015571594238,6.464140892028809,0.7609784007072449,0.0005162095767445862,6.2725324630737305,nan,0.0516209602355957,0.00015574577264487743,0.051011595875024796,0.05222664773464203,0.0,0.0,0.0,0.0,0.0,0.0,0.20326043665409088,1.0,1.0,0.0,2.6275097297912e-06,0.0,0.0,2.6275097297912e-07,0.05000000074505806
5,1,0.00029999973440902417,6.238502502441406,0.6481531858444214,0.6276609301567078,0.0,0.0,0.0,6.238502502441406,6.410757064819336,0.7505135536193848,0.0005151256918907166,6.239017486572266,nan,0.051512569189071655,0.00015672419976908714,0.050862573087215424,0.0521254763007164,0.0,0.0,0.0,0.0,0.0,0.0,0.2029448002576828,1.0,1.0,0.0,2.287863253513933e-06,0.0,0.0,2.2878633387790615e-07,0.05000000074505806
6,1,0.00029999963850121047,6.242410659790039,0.6702791452407837,0.6516555547714233,0.0,0.0,0.0,6.242410659790039,6.493294715881348,0.7593591809272766,0.0005140913999639452,6.242924690246582,nan,0.05140914395451546,0.00015296172932721674,0.05075854808092117,0.052015651017427444,0.0,0.0,0.0,0.0,0.0,0.0,0.20264342427253723,1.0,1.0,0.0,1.9856845483445795e-06,0.0,0.0,1.985684576766289e-07,0.05000000074505806
7,1,0.000299999527838374,6.191720962524414,0.6869627237319946,0.6638023257255554,0.0,0.0,0.0,6.191720962524414,6.464869499206543,0.7581342458724976,0.0005131570505909622,6.192234039306641,nan,0.051315706223249435,0.00014719588216394186,0.050703197717666626,0.05189372971653938,0.0,0.0,0.0,0.0,0.0,0.0,0.20237097144126892,1.0,1.0,0.0,1.7310809425907792e-06,0.0,0.0,1.7310809141690697e-07,0.05000000074505806
8,1,0.0002999994024205256,6.145778656005859,0.706510603427887,0.6788927912712097,0.0,0.0,0.0,6.145778656005859,6.454817771911621,0.7551730871200562,0.0005118402768857777,6.146290302276611,nan,0.0511840283870697,0.00014741923951078206,0.050465334206819534,0.051843687891960144,0.0,0.0,0.0,0.0,0.0,0.0,0.2019866704940796,1.0,1.0,0.0,1.401921508659143e-06,0.0,0.0,1.4019215655025619e-07,0.05000000074505806
9,1,0.00029999926224767785,6.125752925872803,0.723127543926239,0.6941584348678589,0.0,0.0,0.0,6.125752925872803,6.498286247253418,0.7634141445159912,0.0005109296762384474,6.126263618469238,nan,0.0510929673910141,0.00014643478789366782,0.050496987998485565,0.05177508294582367,0.0,0.0,0.0,0.0,0.0,0.0,0.2017207145690918,1.0,1.0,0.0,1.194576043417328e-06,0.0,0.0,1.194576100260747e-07,0.05000000074505806
