step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,5.645186424255371,0.3412119150161743,0.3135480284690857,0.5,0.5,0.0,nan,nan,nan,0.005332029890269041,5.650518417358398,nan
1,1,0.0002999999704898838,5.580229759216309,0.38097697496414185,0.34622904658317566,0.5,0.5,0.0,nan,nan,nan,0.005325877573341131,5.585555553436279,nan
2,1,0.00029999993360224126,5.463234901428223,0.4208669662475586,0.37205225229263306,0.5,0.5,0.0,nan,nan,nan,0.005317859351634979,5.468552589416504,nan
3,1,0.0002999998819595469,5.210020065307617,0.48163849115371704,0.4009188413619995,0.5,0.5,0.0,nan,nan,nan,0.005309863947331905,5.215330123901367,nan
4,1,0.00029999981556180566,5.137516021728516,0.5125057697296143,0.4092767834663391,0.5,0.5,0.0,nan,nan,nan,0.005301288329064846,5.142817497253418,nan
5,1,0.00029999973440902417,5.043724060058594,0.5490823984146118,0.4244453012943268,0.5,0.5,0.0,nan,nan,nan,0.005292214453220367,5.04901647567749,nan
6,1,0.00029999963850121047,5.002805709838867,0.5731266736984253,0.43054166436195374,0.5,0.5,0.0,nan,nan,nan,0.005285748280584812,5.008091449737549,nan
7,1,0.000299999527838374,4.825779438018799,0.6102626919746399,0.43852362036705017,0.5,0.5,0.0,nan,nan,nan,0.00527653144672513,4.831056118011475,nan
8,1,0.0002999994024205256,4.8773417472839355,0.6203979253768921,0.4420878291130066,0.5,0.5,0.0,nan,nan,nan,0.005266939289867878,4.882608890533447,nan
9,1,0.00029999926224767785,4.8263092041015625,0.6352260112762451,0.44926583766937256,0.5,0.5,0.0,nan,nan,nan,0.005257858894765377,4.831567287445068,nan
10,1,0.0002999991073198443,4.71286153793335,0.6595677733421326,0.45333024859428406,0.5,0.5,0.0,nan,nan,nan,0.00524927256628871,4.718111038208008,nan
11,1,0.0002999989376370405,4.6047773361206055,0.6777306795120239,0.458121120929718,0.5,0.5,0.0,nan,nan,nan,0.005240945611149073,4.610018253326416,nan
12,1,0.00029999875319928305,4.506128787994385,0.6940747499465942,0.4569387137889862,0.5,0.5,0.0,nan,nan,nan,0.005230744834989309,4.511359691619873,nan
13,1,0.0002999985540065902,4.47173547744751,0.7048192024230957,0.44950342178344727,0.5,0.5,0.0,nan,nan,nan,0.005221167579293251,4.476956844329834,nan
14,1,0.0002999983400589816,4.421870231628418,0.7117384672164917,0.4433380961418152,0.5,0.5,0.0,nan,nan,nan,0.005214131902903318,4.427084445953369,nan
15,1,0.0002999981113564784,4.366568565368652,0.7200518846511841,0.43989288806915283,0.5,0.5,0.0,nan,nan,nan,0.005204524379223585,4.3717732429504395,nan
16,1,0.0002999978678991031,4.48835563659668,0.7115778923034668,0.42855018377304077,0.5,0.5,0.0,nan,nan,nan,0.005195996258407831,4.493551731109619,nan
17,1,0.0002999976096868798,4.378353118896484,0.7242081761360168,0.4210168719291687,0.5,0.5,0.0,nan,nan,nan,0.005186934489756823,4.383540153503418,nan
18,1,0.00029999733671983396,4.398529529571533,0.7227981090545654,0.4137457013130188,0.5,0.5,0.0,nan,nan,nan,0.005178065970540047,4.403707504272461,nan
19,1,0.0002999970489979925,4.374413967132568,0.7226273417472839,0.4203442633152008,0.5,0.5,0.0,nan,nan,nan,0.005168428178876638,4.379582405090332,nan
20,1,0.00029999674652138385,4.128140926361084,0.750835120677948,0.41150763630867004,0.5,0.5,0.0,nan,nan,nan,0.005160027649253607,4.13330078125,nan
21,1,0.00029999642929003784,4.185705184936523,0.746306300163269,0.4023943841457367,0.5,0.5,0.0,nan,nan,nan,0.005150144454091787,4.190855503082275,nan
