step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,6.186311721801758,0.4991360902786255,0.4875202476978302,0.21186895668506622,0.2519325911998749,0.0,nan,nan,nan,0.002118694828823209,6.188430309295654,nan
1,1,0.0002999999704898838,6.099688529968262,0.5310290455818176,0.5175192952156067,0.2420668751001358,0.2815626263618469,0.0,nan,nan,nan,0.0024206731468439102,6.102109432220459,nan
2,1,0.00029999993360224126,6.076738357543945,0.5620914697647095,0.5530815124511719,0.2729508578777313,0.31495097279548645,0.0,nan,nan,nan,0.00272951228544116,6.0794677734375,nan
3,1,0.0002999998819595469,5.984757423400879,0.5989712476730347,0.588563859462738,0.3074076771736145,0.341208279132843,0.0,nan,nan,nan,0.003074080217629671,5.9878315925598145,nan
4,1,0.00029999981556180566,5.924343109130859,0.6279072761535645,0.6201923489570618,0.3427225351333618,0.38519808650016785,0.0,nan,nan,nan,0.0034272277262061834,5.927770137786865,nan
5,1,0.00029999973440902417,5.814189910888672,0.6569538116455078,0.644630491733551,0.37933117151260376,0.41852062940597534,0.0,nan,nan,nan,0.0037933134008198977,5.817983150482178,nan
6,1,0.00029999963850121047,5.624267101287842,0.6904411911964417,0.6678854823112488,0.4187237620353699,0.4579867422580719,0.0,nan,nan,nan,0.004187237937003374,5.628454208374023,nan
7,1,0.000299999527838374,5.561077117919922,0.7083495855331421,0.6872470378875732,0.459762841463089,0.4939973056316376,0.0,nan,nan,nan,0.004597628489136696,5.565674781799316,nan
8,1,0.0002999994024205256,5.501650810241699,0.7187877893447876,0.6995165348052979,0.49707990884780884,0.5,0.0,nan,nan,nan,0.005018215160816908,5.506669044494629,nan
9,1,0.00029999926224767785,5.434264659881592,0.7434133887290955,0.718072772026062,0.5,0.5,0.0,nan,nan,nan,0.005426628515124321,5.439691066741943,nan
10,1,0.0002999991073198443,5.409770965576172,0.7488921880722046,0.7197678089141846,0.5,0.5,0.0,nan,nan,nan,0.005793644580990076,5.41556453704834,nan
11,1,0.0002999989376370405,5.417947292327881,0.7579934597015381,0.7279340624809265,0.5,0.5,0.0,nan,nan,nan,0.00614679791033268,5.424094200134277,nan
12,1,0.00029999875319928305,5.3372392654418945,0.7702327966690063,0.7315919399261475,0.5,0.5,0.0,nan,nan,nan,0.006412478629499674,5.34365177154541,nan
13,1,0.0002999985540065902,5.270925521850586,0.783124566078186,0.734976053237915,0.5,0.5,0.0,nan,nan,nan,0.00665631890296936,5.277581691741943,nan
14,1,0.0002999983400589816,5.239876747131348,0.7862668037414551,0.7299063801765442,0.5,0.5,0.0,nan,nan,nan,0.00688030244782567,5.2467570304870605,nan
15,1,0.0002999981113564784,5.276684761047363,0.7810220718383789,0.719833254814148,0.5,0.5,0.0,nan,nan,nan,0.007063035853207111,5.283747673034668,nan
16,1,0.0002999978678991031,5.22573709487915,0.7821097373962402,0.7107361555099487,0.5,0.5,0.0,nan,nan,nan,0.0072221215814352036,5.232959270477295,nan
17,1,0.0002999976096868798,5.157599925994873,0.7906696200370789,0.7019464373588562,0.5,0.5,0.0,nan,nan,nan,0.00737038254737854,5.164970397949219,nan
18,1,0.00029999733671983396,5.167322635650635,0.7898235321044922,0.6954028010368347,0.5,0.5,0.0,nan,nan,nan,0.007496715523302555,5.174819469451904,nan
19,1,0.0002999970489979925,5.129383087158203,0.7905972003936768,0.6788292527198792,0.5,0.5,0.0,nan,nan,nan,0.00761700514703989,5.13700008392334,nan
20,1,0.00029999674652138385,5.176065444946289,0.7907403707504272,0.6810275316238403,0.5,0.5,0.0,nan,nan,nan,0.0077101849019527435,5.183775424957275,nan
21,1,0.00029999642929003784,5.070626258850098,0.8047058582305908,0.6798925995826721,0.5,0.5,0.0,nan,nan,nan,0.00779087096452713,5.0784173011779785,nan
22,1,0.0002999960973039858,5.008522987365723,0.8079327940940857,0.6634877324104309,0.5,0.5,0.0,nan,nan,nan,0.007868870161473751,5.016391754150391,nan
23,1,0.00029999575056326047,5.096364974975586,0.8019761443138123,0.6697794795036316,0.5,0.5,0.0,nan,nan,nan,0.00793902762234211,5.10430383682251,nan
24,1,0.00029999538906789607,4.936734199523926,0.8190184831619263,0.6637195944786072,0.5,0.5,0.0,nan,nan,nan,0.007998769171535969,4.944733142852783,nan
25,1,0.0002999950128179283,5.015434265136719,0.806037187576294,0.6657568216323853,0.5,0.5,0.0,nan,nan,nan,0.008049191907048225,5.0234832763671875,nan
26,1,0.0002999946218133943,4.934667587280273,0.8195003271102905,0.6661189198493958,0.5,0.5,0.0,nan,nan,nan,0.008090633898973465,4.942758083343506,nan
27,1,0.0002999942160543326,4.954747676849365,0.8151732683181763,0.6668597459793091,0.5,0.5,0.0,nan,nan,nan,0.008127069100737572,4.962874889373779,nan
28,1,0.00029999379554078334,4.938507080078125,0.8153834342956543,0.6685592532157898,0.5,0.5,0.0,nan,nan,nan,0.008168471045792103,4.946675777435303,nan
29,1,0.000299993360272788,4.907079696655273,0.8147530555725098,0.658349335193634,0.5,0.5,0.0,nan,nan,nan,0.008206058293581009,4.915285587310791,nan
30,1,0.00029999291025038945,4.833000659942627,0.8196026086807251,0.6610998511314392,0.5,0.5,0.0,nan,nan,nan,0.008236335590481758,4.8412370681762695,nan
31,1,0.00029999244547363217,4.893637657165527,0.8106511831283569,0.6473708152770996,0.5,0.5,0.0,nan,nan,nan,0.008262553252279758,4.901900291442871,nan
32,1,0.0002999919659425621,4.795318603515625,0.814064621925354,0.638625979423523,0.5,0.5,0.0,nan,nan,nan,0.008283254690468311,4.8036017417907715,nan
33,1,0.00029999147165722645,4.75404167175293,0.8166959881782532,0.6300901174545288,0.5,0.5,0.0,nan,nan,nan,0.00830550491809845,4.762347221374512,nan
34,1,0.0002999909626176741,4.699670791625977,0.8165830373764038,0.620957612991333,0.5,0.5,0.0,nan,nan,nan,0.008310810662806034,4.707981586456299,nan
35,1,0.0002999904388239552,4.7594099044799805,0.8068391680717468,0.6049764156341553,0.5,0.5,0.0,nan,nan,nan,0.008330311626195908,4.767740249633789,nan
36,1,0.0002999899002761215,4.703546524047852,0.8022053241729736,0.5960217118263245,0.5,0.5,0.0,nan,nan,nan,0.008340015076100826,4.711886405944824,nan
37,1,0.0002999893469742262,4.665963172912598,0.8029609322547913,0.5731582641601562,0.5,0.5,0.0,nan,nan,nan,0.008359490893781185,4.674322605133057,nan
38,1,0.00029998877891832383,4.619642734527588,0.8033081293106079,0.5505053997039795,0.5,0.5,0.0,nan,nan,nan,0.008362813852727413,4.628005504608154,nan
39,1,0.0002999881961084705,4.745919227600098,0.7812627553939819,0.5407348871231079,0.5,0.5,0.0,nan,nan,nan,0.008368460461497307,4.7542877197265625,nan
40,1,0.00029998759854472364,4.659874439239502,0.7878152132034302,0.530850887298584,0.5,0.5,0.0,nan,nan,nan,0.008365612477064133,4.668240070343018,nan
41,1,0.00029998698622714235,4.679955005645752,0.7849634885787964,0.5256990790367126,0.5,0.5,0.0,nan,nan,nan,0.008377322927117348,4.688332557678223,nan
42,1,0.000299986359155787,4.651327133178711,0.787727952003479,0.5266081690788269,0.5,0.5,0.0,nan,nan,nan,0.00838044285774231,4.659707546234131,nan
43,1,0.00029998571733071946,4.504837989807129,0.8041205406188965,0.5272901058197021,0.5,0.5,0.0,nan,nan,nan,0.008376671932637691,4.513214588165283,nan
44,1,0.00029998506075200315,4.5042619705200195,0.8033651113510132,0.5200364589691162,0.5,0.5,0.0,nan,nan,nan,0.008378944359719753,4.512640953063965,nan
45,1,0.0002999843894197028,4.5362982749938965,0.8006488084793091,0.5247228741645813,0.5,0.5,0.0,nan,nan,nan,0.008389025926589966,4.544687271118164,nan
46,1,0.00029998370333388465,4.555279731750488,0.7980365753173828,0.5224083065986633,0.5,0.5,0.0,nan,nan,nan,0.008381153456866741,4.563661098480225,nan
47,1,0.0002999830024946165,4.483794689178467,0.8027487397193909,0.5208843350410461,0.5,0.5,0.0,nan,nan,nan,0.008384152315557003,4.492178916931152,nan
48,1,0.00029998228690196753,4.544489860534668,0.7986123561859131,0.5216674208641052,0.5,0.5,0.0,nan,nan,nan,0.008388650603592396,4.552878379821777,nan
49,1,0.00029998155655600826,4.50656270980835,0.8023291826248169,0.513375461101532,0.5,0.5,0.0,nan,nan,nan,0.008381056599318981,4.514943599700928,nan
50,1,0.0002999808114568108,4.3730549812316895,0.8127866983413696,0.5089496374130249,0.5,0.5,0.0,nan,nan,nan,0.00837460346519947,4.381429672241211,nan
51,1,0.0002999800516044487,4.352587699890137,0.8163180947303772,0.5019458532333374,0.5,0.5,0.0,nan,nan,nan,0.008378716185688972,4.360966205596924,nan
