step,epoch,lr,loss,pos_sim_mean,neg_sim_mean,p_fn_mean,p_fn_max,downweighted_fraction,fn_loss,edge_contrastive_loss,edge_align_loss,p_fn_reg_loss,total_loss,alpha
0,1,0.0002999999926224707,5.8011674880981445,nan,nan,0.5,0.5,0.0,5.8011674880981445,6.540916919708252,0.7706317901611328,0.005337859503924847,5.80650520324707,nan
1,1,0.0002999999704898838,5.7255167961120605,nan,nan,0.5,0.5,0.0,5.7255167961120605,6.474107265472412,0.7628539204597473,0.005329539068043232,5.730846405029297,nan
2,1,0.00029999993360224126,5.797247409820557,nan,nan,0.5,0.5,0.0,5.797247409820557,6.571559429168701,0.7741068601608276,0.005319849122315645,5.802567481994629,nan
3,1,0.0002999998819595469,5.699007034301758,nan,nan,0.5,0.5,0.0,5.699007034301758,6.491353511810303,0.7638739347457886,0.0053117768839001656,5.704319000244141,nan
4,1,0.00029999981556180566,5.66360330581665,nan,nan,0.5,0.5,0.0,5.66360330581665,6.4542412757873535,0.7569876313209534,0.005305411294102669,5.668908596038818,nan
5,1,0.00029999973440902417,5.586807727813721,nan,nan,0.5,0.5,0.0,5.586807727813721,6.4760026931762695,0.7591700553894043,0.005296604707837105,5.592104434967041,nan
6,1,0.00029999963850121047,5.62478494644165,nan,nan,0.5,0.5,0.0,5.62478494644165,6.521563529968262,0.7636750936508179,0.005288976244628429,5.6300740242004395,nan
7,1,0.000299999527838374,5.541728973388672,nan,nan,0.5,0.5,0.0,5.541728973388672,6.45180606842041,0.7586997747421265,0.005281960126012564,5.547010898590088,nan
8,1,0.0002999994024205256,5.507341384887695,nan,nan,0.5,0.5,0.0,5.507341384887695,6.408172607421875,0.7495610117912292,0.005273846443742514,5.512615203857422,nan
9,1,0.00029999926224767785,5.545229911804199,nan,nan,0.5,0.5,0.0,5.545229911804199,6.433131217956543,0.7568838596343994,0.005267410073429346,5.550497531890869,nan
10,1,0.0002999991073198443,5.538041114807129,nan,nan,0.5,0.5,0.0,5.538041114807129,6.511471748352051,0.7638590931892395,0.0052607618272304535,5.543302059173584,nan
11,1,0.0002999989376370405,5.468958377838135,nan,nan,0.5,0.5,0.0,5.468958377838135,6.445565700531006,0.7646477818489075,0.005254478193819523,5.474212646484375,nan
12,1,0.00029999875319928305,5.47533655166626,nan,nan,0.5,0.5,0.0,5.47533655166626,6.42922830581665,0.7609807252883911,0.005247732158750296,5.480584144592285,nan
13,1,0.0002999985540065902,5.468255996704102,nan,nan,0.5,0.5,0.0,5.468255996704102,6.497158050537109,0.7665516138076782,0.0052402508445084095,5.473496437072754,nan
14,1,0.0002999983400589816,5.411873817443848,nan,nan,0.5,0.5,0.0,5.411873817443848,6.45836067199707,0.7634382247924805,0.005233380012214184,5.417107105255127,nan
15,1,0.0002999981113564784,5.378848075866699,nan,nan,0.5,0.5,0.0,5.378848075866699,6.4130730628967285,0.7633876204490662,0.005225579719990492,5.384073734283447,nan
16,1,0.0002999978678991031,5.304852485656738,nan,nan,0.5,0.5,0.0,5.304852485656738,6.320112705230713,0.7519989013671875,0.00521704601123929,5.310069561004639,nan
17,1,0.0002999976096868798,5.297544956207275,nan,nan,0.5,0.5,0.0,5.297544956207275,6.4515156745910645,0.7686134576797485,0.0052090296521782875,5.302753925323486,nan
18,1,0.00029999733671983396,5.269473552703857,nan,nan,0.5,0.5,0.0,5.269473552703857,6.412356376647949,0.7666229009628296,0.005200156010687351,5.274673938751221,nan
19,1,0.0002999970489979925,5.237008094787598,nan,nan,0.5,0.5,0.0,5.237008094787598,6.372551918029785,0.7633547782897949,0.00518967816606164,5.2421979904174805,nan
20,1,0.00029999674652138385,5.154824256896973,nan,nan,0.5,0.5,0.0,5.154824256896973,6.286273956298828,0.7568909525871277,0.005178980529308319,5.160003185272217,nan
21,1,0.00029999642929003784,5.248610973358154,nan,nan,0.5,0.5,0.0,5.248610973358154,6.461364269256592,0.7777769565582275,0.005170282442122698,5.253781318664551,nan
22,1,0.0002999960973039858,5.146533489227295,nan,nan,0.5,0.5,0.0,5.146533489227295,6.35774040222168,0.7692139148712158,0.00515922112390399,5.151692867279053,nan
23,1,0.00029999575056326047,5.150224685668945,nan,nan,0.5,0.5,0.0,5.150224685668945,6.278265953063965,0.7654045820236206,0.0051484983414411545,5.1553730964660645,nan
24,1,0.00029999538906789607,5.1574530601501465,nan,nan,0.5,0.5,0.0,5.1574530601501465,6.276266098022461,0.7651979923248291,0.005139801185578108,5.162592887878418,nan
25,1,0.0002999950128179283,5.045994281768799,nan,nan,0.5,0.5,0.0,5.045994281768799,6.265555381774902,0.7689242959022522,0.005130331963300705,5.051124572753906,nan
26,1,0.0002999946218133943,5.175479888916016,nan,nan,0.5,0.5,0.0,5.175479888916016,6.347611427307129,0.7795429229736328,0.005119986832141876,5.180599689483643,nan
27,1,0.0002999942160543326,5.057219505310059,nan,nan,0.5,0.5,0.0,5.057219505310059,6.351944923400879,0.7760778665542603,0.005111299455165863,5.062330722808838,nan
28,1,0.00029999379554078334,5.027874946594238,nan,nan,0.5,0.5,0.0,5.027874946594238,6.186777114868164,0.762364387512207,0.00510272616520524,5.03297758102417,nan
29,1,0.000299993360272788,5.008788585662842,nan,nan,0.5,0.5,0.0,5.008788585662842,6.266971588134766,0.7672938704490662,0.005092686507850885,5.013881206512451,nan
30,1,0.00029999291025038945,4.980069160461426,nan,nan,0.5,0.5,0.0,4.980069160461426,6.311406135559082,0.7706059813499451,0.005083753261715174,4.985152721405029,nan
31,1,0.00029999244547363217,4.8555192947387695,nan,nan,0.5,0.5,0.0,4.8555192947387695,6.143020153045654,0.7593890428543091,0.00507458858191967,4.860593795776367,nan
32,1,0.0002999919659425621,4.924983024597168,nan,nan,0.49999988079071045,0.5,0.0,4.924983024597168,6.29927921295166,0.7695062160491943,0.005064490716904402,4.930047512054443,nan
33,1,0.00029999147165722645,4.95510721206665,nan,nan,0.4999941885471344,0.5,0.0,4.95510721206665,6.271784782409668,0.768241822719574,0.005053322296589613,4.960160732269287,nan
34,1,0.0002999909626176741,4.871242046356201,nan,nan,0.4999684989452362,0.5,0.0,4.871242046356201,6.195565700531006,0.7654950022697449,0.00504470057785511,4.87628698348999,nan
35,1,0.0002999904388239552,4.869584083557129,nan,nan,0.4998893141746521,0.5,0.0,4.869584083557129,6.342979431152344,0.780229926109314,0.005035468842834234,4.874619483947754,nan
36,1,0.0002999899002761215,4.768633842468262,nan,nan,0.4998472034931183,0.5,0.0,4.768633842468262,6.14932107925415,0.7550269961357117,0.005031521897763014,4.773665428161621,nan
37,1,0.0002999893469742262,4.758676052093506,nan,nan,0.4998086392879486,0.5,0.0,4.758676052093506,6.185906410217285,0.7611205577850342,0.0050289868377149105,4.763705253601074,nan
38,1,0.00029998877891832383,4.609395980834961,nan,nan,0.49987486004829407,0.5,0.0,4.609395980834961,6.139173984527588,0.7622132897377014,0.005031397100538015,4.61442756652832,nan
39,1,0.0002999881961084705,4.73824405670166,nan,nan,0.4998922049999237,0.5,0.0,4.73824405670166,6.22481632232666,0.770520806312561,0.005033665802329779,4.743277549743652,nan
40,1,0.00029998759854472364,4.705349922180176,nan,nan,0.49996238946914673,0.5,0.0,4.705349922180176,6.166274070739746,0.7630400657653809,0.00503891333937645,4.710388660430908,nan
41,1,0.00029998698622714235,4.657124042510986,nan,nan,0.4999822676181793,0.5,0.0,4.657124042510986,6.1469526290893555,0.759260356426239,0.005041663534939289,4.662165641784668,nan
42,1,0.000299986359155787,4.623058795928955,nan,nan,0.4999884068965912,0.5,0.0,4.623058795928955,6.185941696166992,0.7669156193733215,0.0050452169962227345,4.628104209899902,nan
43,1,0.00029998571733071946,4.645302772521973,nan,nan,0.499994695186615,0.5,0.0,4.645302772521973,6.149248123168945,0.766089141368866,0.005047771614044905,4.650350570678711,nan
44,1,0.00029998506075200315,4.456979274749756,nan,nan,0.4999953508377075,0.5,0.0,4.456979274749756,6.047607421875,0.7547473311424255,0.0050490861758589745,4.462028503417969,nan
