run_id,encoder,head,loss,scorer,dataset,seed,params_total,params_scorer,macro_auroc_linear,macro_auroc_knn,mAP,per_class_auroc_linear_json,n_classes_valid,macro_auroc_linear_test,macro_auroc_knn_test,mAP_test,per_class_auroc_linear_test_json,n_classes_valid_test,runtime_sec
20260528-163307-39b53e,resnet18,mlp,infonce,none,chestmnist,42,11499584,0,0.674855,0.627504,0.111656,"{""atelectasis"": 0.684734, ""cardiomegaly"": 0.772965, ""effusion"": 0.714323, ""infiltration"": 0.586429, ""mass"": 0.637814, ""nodule"": 0.559741, ""pneumonia"": 0.64969, ""pneumothorax"": 0.742099, ""consolidation"": 0.65931, ""edema"": 0.771348, ""emphysema"": 0.710374, ""fibrosis"": 0.654892, ""pleural_thickening"": 0.688398, ""hernia"": 0.61585}",14,0.67435,0.625721,0.113377,"{""atelectasis"": 0.683178, ""cardiomegaly"": 0.790433, ""effusion"": 0.732562, ""infiltration"": 0.603753, ""mass"": 0.641554, ""nodule"": 0.563678, ""pneumonia"": 0.620362, ""pneumothorax"": 0.700754, ""consolidation"": 0.654414, ""edema"": 0.758777, ""emphysema"": 0.686751, ""fibrosis"": 0.652713, ""pleural_thickening"": 0.642135, ""hernia"": 0.709843}",14,24.9
20260528-165113-b7761d,resnet18,fastkan,infonce,none,chestmnist,42,11498747,0,0.671829,0.619449,0.102529,"{""atelectasis"": 0.685123, ""cardiomegaly"": 0.673611, ""effusion"": 0.748696, ""infiltration"": 0.614937, ""mass"": 0.645809, ""nodule"": 0.52657, ""pneumonia"": 0.656128, ""pneumothorax"": 0.679216, ""consolidation"": 0.695497, ""edema"": 0.763863, ""emphysema"": 0.704122, ""fibrosis"": 0.623015, ""pleural_thickening"": 0.68403, ""hernia"": 0.704993}",14,0.671107,0.616197,0.106452,"{""atelectasis"": 0.687944, ""cardiomegaly"": 0.73006, ""effusion"": 0.760374, ""infiltration"": 0.625112, ""mass"": 0.621924, ""nodule"": 0.555015, ""pneumonia"": 0.634192, ""pneumothorax"": 0.683098, ""consolidation"": 0.694518, ""edema"": 0.747606, ""emphysema"": 0.644418, ""fibrosis"": 0.643699, ""pleural_thickening"": 0.640619, ""hernia"": 0.726926}",14,23.72
20260528-170743-1904cb,resnet18,residual_fastkan,infonce,none,chestmnist,42,11536851,0,0.678254,0.628854,0.109956,"{""atelectasis"": 0.67446, ""cardiomegaly"": 0.780503, ""effusion"": 0.714949, ""infiltration"": 0.585556, ""mass"": 0.638937, ""nodule"": 0.54866, ""pneumonia"": 0.645334, ""pneumothorax"": 0.745988, ""consolidation"": 0.656452, ""edema"": 0.771796, ""emphysema"": 0.698916, ""fibrosis"": 0.6565, ""pleural_thickening"": 0.691764, ""hernia"": 0.685746}",14,0.676782,0.625398,0.111434,"{""atelectasis"": 0.675224, ""cardiomegaly"": 0.789385, ""effusion"": 0.732174, ""infiltration"": 0.603484, ""mass"": 0.638958, ""nodule"": 0.56389, ""pneumonia"": 0.602513, ""pneumothorax"": 0.706589, ""consolidation"": 0.658387, ""edema"": 0.744354, ""emphysema"": 0.690658, ""fibrosis"": 0.647434, ""pleural_thickening"": 0.648297, ""hernia"": 0.773595}",14,24.17
20260528-172412-3c07e7,resnet18,mlp,fn_weighted,mlp,chestmnist,42,11508897,9313,0.679846,0.633022,0.111383,"{""atelectasis"": 0.684757, ""cardiomegaly"": 0.787516, ""effusion"": 0.729976, ""infiltration"": 0.601319, ""mass"": 0.647608, ""nodule"": 0.555245, ""pneumonia"": 0.657271, ""pneumothorax"": 0.733807, ""consolidation"": 0.674007, ""edema"": 0.776761, ""emphysema"": 0.676505, ""fibrosis"": 0.651198, ""pleural_thickening"": 0.687097, ""hernia"": 0.654781}",14,0.685727,0.627548,0.114681,"{""atelectasis"": 0.685641, ""cardiomegaly"": 0.793913, ""effusion"": 0.749748, ""infiltration"": 0.606001, ""mass"": 0.642702, ""nodule"": 0.5802, ""pneumonia"": 0.629703, ""pneumothorax"": 0.70442, ""consolidation"": 0.676141, ""edema"": 0.754892, ""emphysema"": 0.691086, ""fibrosis"": 0.675315, ""pleural_thickening"": 0.653788, ""hernia"": 0.756627}",14,23.56
20260528-174518-200e29,resnet18,mlp,fn_weighted,kan,chestmnist,42,11508556,8972,0.685827,0.633127,0.112795,"{""atelectasis"": 0.687011, ""cardiomegaly"": 0.797647, ""effusion"": 0.730495, ""infiltration"": 0.599099, ""mass"": 0.634316, ""nodule"": 0.548968, ""pneumonia"": 0.675586, ""pneumothorax"": 0.739996, ""consolidation"": 0.674846, ""edema"": 0.788849, ""emphysema"": 0.70014, ""fibrosis"": 0.679536, ""pleural_thickening"": 0.686525, ""hernia"": 0.658558}",14,0.686251,0.627206,0.115518,"{""atelectasis"": 0.681813, ""cardiomegaly"": 0.799413, ""effusion"": 0.746822, ""infiltration"": 0.61233, ""mass"": 0.629577, ""nodule"": 0.575593, ""pneumonia"": 0.631101, ""pneumothorax"": 0.713009, ""consolidation"": 0.672279, ""edema"": 0.760279, ""emphysema"": 0.718168, ""fibrosis"": 0.664039, ""pleural_thickening"": 0.64344, ""hernia"": 0.759653}",14,23.76
20260528-180719-485ca3,resnet18,fastkan,fn_weighted,kan,chestmnist,42,11548046,8972,0.677941,0.618835,0.102604,"{""atelectasis"": 0.690099, ""cardiomegaly"": 0.707821, ""effusion"": 0.719592, ""infiltration"": 0.613604, ""mass"": 0.653296, ""nodule"": 0.541404, ""pneumonia"": 0.658445, ""pneumothorax"": 0.6992, ""consolidation"": 0.689468, ""edema"": 0.776304, ""emphysema"": 0.677799, ""fibrosis"": 0.64882, ""pleural_thickening"": 0.685177, ""hernia"": 0.730145}",14,0.678907,0.617604,0.103462,"{""atelectasis"": 0.679051, ""cardiomegaly"": 0.749459, ""effusion"": 0.738511, ""infiltration"": 0.62936, ""mass"": 0.611198, ""nodule"": 0.569341, ""pneumonia"": 0.654944, ""pneumothorax"": 0.682245, ""consolidation"": 0.695329, ""edema"": 0.763269, ""emphysema"": 0.64475, ""fibrosis"": 0.660912, ""pleural_thickening"": 0.640265, ""hernia"": 0.78606}",14,48.76
20260528-182841-1d8022,resnet18,fastkan,edge_aware_fn,edge_mlp,chestmnist,42,11543539,4465,0.684442,0.620976,0.107622,"{""atelectasis"": 0.717689, ""cardiomegaly"": 0.703746, ""effusion"": 0.755109, ""infiltration"": 0.626041, ""mass"": 0.641664, ""nodule"": 0.544408, ""pneumonia"": 0.692238, ""pneumothorax"": 0.700684, ""consolidation"": 0.73747, ""edema"": 0.810086, ""emphysema"": 0.671285, ""fibrosis"": 0.635858, ""pleural_thickening"": 0.691745, ""hernia"": 0.654162}",14,0.684038,0.61639,0.107806,"{""atelectasis"": 0.704844, ""cardiomegaly"": 0.753187, ""effusion"": 0.759731, ""infiltration"": 0.643592, ""mass"": 0.612275, ""nodule"": 0.564361, ""pneumonia"": 0.633962, ""pneumothorax"": 0.687886, ""consolidation"": 0.728865, ""edema"": 0.795398, ""emphysema"": 0.640327, ""fibrosis"": 0.652363, ""pleural_thickening"": 0.648754, ""hernia"": 0.750984}",14,48.94
20260528-185001-3c3ca6,resnet18,fastkan,edge_aware_fn,edge_mlp,chestmnist,42,11543539,4465,0.680625,0.615904,0.106135,"{""atelectasis"": 0.69969, ""cardiomegaly"": 0.742343, ""effusion"": 0.736412, ""infiltration"": 0.615189, ""mass"": 0.654257, ""nodule"": 0.541812, ""pneumonia"": 0.652588, ""pneumothorax"": 0.714044, ""consolidation"": 0.704931, ""edema"": 0.763981, ""emphysema"": 0.664003, ""fibrosis"": 0.646017, ""pleural_thickening"": 0.687851, ""hernia"": 0.70563}",14,0.685004,0.619554,0.108619,"{""atelectasis"": 0.697641, ""cardiomegaly"": 0.767926, ""effusion"": 0.759881, ""infiltration"": 0.629404, ""mass"": 0.625175, ""nodule"": 0.563586, ""pneumonia"": 0.654113, ""pneumothorax"": 0.694859, ""consolidation"": 0.708804, ""edema"": 0.767576, ""emphysema"": 0.655296, ""fibrosis"": 0.665696, ""pleural_thickening"": 0.645076, ""hernia"": 0.755028}",14,44.95
20260528-191129-c11924,resnet18,fastkan,edge_aware_fn,edge_mlp,chestmnist,42,11543539,4465,0.686699,0.625049,0.105411,"{""atelectasis"": 0.708648, ""cardiomegaly"": 0.746253, ""effusion"": 0.750069, ""infiltration"": 0.627719, ""mass"": 0.647806, ""nodule"": 0.541613, ""pneumonia"": 0.667935, ""pneumothorax"": 0.696457, ""consolidation"": 0.717916, ""edema"": 0.79883, ""emphysema"": 0.670597, ""fibrosis"": 0.640711, ""pleural_thickening"": 0.679344, ""hernia"": 0.719885}",14,0.680832,0.620387,0.104753,"{""atelectasis"": 0.694648, ""cardiomegaly"": 0.761627, ""effusion"": 0.762018, ""infiltration"": 0.634572, ""mass"": 0.618885, ""nodule"": 0.563872, ""pneumonia"": 0.648356, ""pneumothorax"": 0.682485, ""consolidation"": 0.704855, ""edema"": 0.772236, ""emphysema"": 0.648266, ""fibrosis"": 0.663982, ""pleural_thickening"": 0.63942, ""hernia"": 0.736432}",14,50.73
20260528-193256-139cb2,resnet18,fastkan,edge_aware_fn,mlp_zonly,chestmnist,42,11543507,4433,0.680823,0.618413,0.103165,"{""atelectasis"": 0.693543, ""cardiomegaly"": 0.720476, ""effusion"": 0.737379, ""infiltration"": 0.610999, ""mass"": 0.659981, ""nodule"": 0.549359, ""pneumonia"": 0.647804, ""pneumothorax"": 0.698865, ""consolidation"": 0.690657, ""edema"": 0.764993, ""emphysema"": 0.667758, ""fibrosis"": 0.650915, ""pleural_thickening"": 0.696929, ""hernia"": 0.741871}",14,0.674135,0.616889,0.105477,"{""atelectasis"": 0.684074, ""cardiomegaly"": 0.742667, ""effusion"": 0.750287, ""infiltration"": 0.630963, ""mass"": 0.617762, ""nodule"": 0.554242, ""pneumonia"": 0.619727, ""pneumothorax"": 0.677264, ""consolidation"": 0.692219, ""edema"": 0.743866, ""emphysema"": 0.637508, ""fibrosis"": 0.665937, ""pleural_thickening"": 0.650016, ""hernia"": 0.771363}",14,49.34
