cell_id,head,loss,scorer,lambda_edge,lambda_edge_align,dataset,seed,params_total,params_scorer,macro_auroc_linear,macro_auroc_knn,mAP,per_class_auroc_linear_json,macro_auroc_linear_test,macro_auroc_knn_test,mAP_test,per_class_auroc_linear_test_json,alignment,uniformity,effective_rank,runtime_sec,status
mlp_infonce,mlp,infonce,none,0.0,0.0,chestmnist,42,11499584,0,0.679372,0.631848,0.112601,"{""atelectasis"": 0.669944, ""cardiomegaly"": 0.786562, ""effusion"": 0.728009, ""infiltration"": 0.586372, ""mass"": 0.634587, ""nodule"": 0.551461, ""pneumonia"": 0.661152, ""pneumothorax"": 0.749888, ""consolidation"": 0.659253, ""edema"": 0.788437, ""emphysema"": 0.698024, ""fibrosis"": 0.675901, ""pleural_thickening"": 0.679667, ""hernia"": 0.641945}",0.677262,0.627743,0.112757,"{""atelectasis"": 0.668495, ""cardiomegaly"": 0.788268, ""effusion"": 0.734171, ""infiltration"": 0.591847, ""mass"": 0.641935, ""nodule"": 0.567307, ""pneumonia"": 0.613953, ""pneumothorax"": 0.715134, ""consolidation"": 0.655906, ""edema"": 0.746561, ""emphysema"": 0.695132, ""fibrosis"": 0.675565, ""pleural_thickening"": 0.642264, ""hernia"": 0.745131}",0.2204,-3.886129,116.945137,797.15,OK
kan_infonce,fastkan,infonce,none,0.0,0.0,chestmnist,42,11498747,0,0.674256,0.617543,0.104736,"{""atelectasis"": 0.709584, ""cardiomegaly"": 0.715113, ""effusion"": 0.751977, ""infiltration"": 0.634154, ""mass"": 0.637791, ""nodule"": 0.54846, ""pneumonia"": 0.593345, ""pneumothorax"": 0.700946, ""consolidation"": 0.700743, ""edema"": 0.782025, ""emphysema"": 0.67245, ""fibrosis"": 0.63208, ""pleural_thickening"": 0.680227, ""hernia"": 0.680695}",0.680371,0.616957,0.108742,"{""atelectasis"": 0.706242, ""cardiomegaly"": 0.754355, ""effusion"": 0.761678, ""infiltration"": 0.646001, ""mass"": 0.61312, ""nodule"": 0.556373, ""pneumonia"": 0.642424, ""pneumothorax"": 0.697381, ""consolidation"": 0.700156, ""edema"": 0.761606, ""emphysema"": 0.642993, ""fibrosis"": 0.64572, ""pleural_thickening"": 0.635545, ""hernia"": 0.761594}",0.20782,-3.76638,45.485085,991.04,OK
reskan_infonce,residual_fastkan,infonce,none,0.0,0.0,chestmnist,42,11536851,0,0.678983,0.627294,0.110328,"{""atelectasis"": 0.676896, ""cardiomegaly"": 0.790936, ""effusion"": 0.714654, ""infiltration"": 0.589363, ""mass"": 0.637515, ""nodule"": 0.554478, ""pneumonia"": 0.640664, ""pneumothorax"": 0.740067, ""consolidation"": 0.653841, ""edema"": 0.780731, ""emphysema"": 0.692241, ""fibrosis"": 0.663709, ""pleural_thickening"": 0.6837, ""hernia"": 0.686961}",0.674265,0.628609,0.114476,"{""atelectasis"": 0.679423, ""cardiomegaly"": 0.798893, ""effusion"": 0.732244, ""infiltration"": 0.604068, ""mass"": 0.63623, ""nodule"": 0.576123, ""pneumonia"": 0.595314, ""pneumothorax"": 0.706835, ""consolidation"": 0.646749, ""edema"": 0.752262, ""emphysema"": 0.685565, ""fibrosis"": 0.65577, ""pleural_thickening"": 0.645234, ""hernia"": 0.724998}",0.226509,-3.884634,116.766273,978.57,OK
kan_wide_infonce,fastkan_wide,infonce,none,0.0,0.0,chestmnist,42,11907778,0,0.676721,0.617976,0.104071,"{""atelectasis"": 0.707762, ""cardiomegaly"": 0.734769, ""effusion"": 0.749403, ""infiltration"": 0.616085, ""mass"": 0.653347, ""nodule"": 0.543633, ""pneumonia"": 0.638496, ""pneumothorax"": 0.686758, ""consolidation"": 0.696373, ""edema"": 0.742227, ""emphysema"": 0.670935, ""fibrosis"": 0.656535, ""pleural_thickening"": 0.68349, ""hernia"": 0.694284}",0.680141,0.617223,0.107295,"{""atelectasis"": 0.70078, ""cardiomegaly"": 0.764147, ""effusion"": 0.765574, ""infiltration"": 0.632721, ""mass"": 0.614843, ""nodule"": 0.564162, ""pneumonia"": 0.633787, ""pneumothorax"": 0.693392, ""consolidation"": 0.701028, ""edema"": 0.7148, ""emphysema"": 0.661763, ""fibrosis"": 0.648889, ""pleural_thickening"": 0.650592, ""hernia"": 0.775491}",0.22236,-3.826214,73.551689,984.25,OK
mlp_fn_mlp,mlp,fn_weighted,mlp,0.0,0.0,chestmnist,42,11508897,9313,0.685872,0.627197,0.113573,"{""atelectasis"": 0.686886, ""cardiomegaly"": 0.779238, ""effusion"": 0.730796, ""infiltration"": 0.603437, ""mass"": 0.632839, ""nodule"": 0.554989, ""pneumonia"": 0.660305, ""pneumothorax"": 0.741564, ""consolidation"": 0.677905, ""edema"": 0.810476, ""emphysema"": 0.681803, ""fibrosis"": 0.680132, ""pleural_thickening"": 0.691079, ""hernia"": 0.670758}",0.685917,0.629507,0.114367,"{""atelectasis"": 0.684641, ""cardiomegaly"": 0.796642, ""effusion"": 0.74631, ""infiltration"": 0.616807, ""mass"": 0.641807, ""nodule"": 0.574646, ""pneumonia"": 0.623729, ""pneumothorax"": 0.705298, ""consolidation"": 0.682329, ""edema"": 0.760474, ""emphysema"": 0.707953, ""fibrosis"": 0.65952, ""pleural_thickening"": 0.642269, ""hernia"": 0.760411}",0.222556,-3.87633,115.304642,825.86,OK
mlp_fn_kan,mlp,fn_weighted,kan,0.0,0.0,chestmnist,42,11508556,8972,0.683283,0.630957,0.110764,"{""atelectasis"": 0.696793, ""cardiomegaly"": 0.783575, ""effusion"": 0.716404, ""infiltration"": 0.591117, ""mass"": 0.639532, ""nodule"": 0.53824, ""pneumonia"": 0.662814, ""pneumothorax"": 0.748635, ""consolidation"": 0.676463, ""edema"": 0.792734, ""emphysema"": 0.688753, ""fibrosis"": 0.667567, ""pleural_thickening"": 0.658871, ""hernia"": 0.704463}",0.687162,0.632637,0.112379,"{""atelectasis"": 0.682131, ""cardiomegaly"": 0.789275, ""effusion"": 0.737179, ""infiltration"": 0.607253, ""mass"": 0.636047, ""nodule"": 0.573932, ""pneumonia"": 0.625032, ""pneumothorax"": 0.710242, ""consolidation"": 0.674172, ""edema"": 0.779157, ""emphysema"": 0.711208, ""fibrosis"": 0.663407, ""pleural_thickening"": 0.638384, ""hernia"": 0.792853}",0.216934,-3.87987,115.426659,1271.36,OK
kan_fn_kan,fastkan,fn_weighted,kan,0.0,0.0,chestmnist,42,11548046,8972,0.677095,0.6178,0.104658,"{""atelectasis"": 0.711916, ""cardiomegaly"": 0.701557, ""effusion"": 0.757085, ""infiltration"": 0.634957, ""mass"": 0.649211, ""nodule"": 0.55411, ""pneumonia"": 0.644643, ""pneumothorax"": 0.683357, ""consolidation"": 0.69264, ""edema"": 0.748192, ""emphysema"": 0.640973, ""fibrosis"": 0.633142, ""pleural_thickening"": 0.689575, ""hernia"": 0.737978}",0.677186,0.618764,0.104829,"{""atelectasis"": 0.709804, ""cardiomegaly"": 0.740732, ""effusion"": 0.764104, ""infiltration"": 0.646634, ""mass"": 0.596928, ""nodule"": 0.558785, ""pneumonia"": 0.639842, ""pneumothorax"": 0.693148, ""consolidation"": 0.692888, ""edema"": 0.741918, ""emphysema"": 0.654487, ""fibrosis"": 0.643269, ""pleural_thickening"": 0.639332, ""hernia"": 0.758741}",0.206208,-3.768206,46.039227,1284.08,OK
edge_scorer_no_aux,fastkan,edge_aware_fn,edge_mlp,0.0,0.0,chestmnist,42,11543539,4465,0.675548,0.61963,0.105014,"{""atelectasis"": 0.698958, ""cardiomegaly"": 0.706155, ""effusion"": 0.736532, ""infiltration"": 0.62063, ""mass"": 0.643721, ""nodule"": 0.531172, ""pneumonia"": 0.689578, ""pneumothorax"": 0.711814, ""consolidation"": 0.691785, ""edema"": 0.773823, ""emphysema"": 0.663355, ""fibrosis"": 0.65111, ""pleural_thickening"": 0.684215, ""hernia"": 0.654821}",0.674444,0.620112,0.107407,"{""atelectasis"": 0.690047, ""cardiomegaly"": 0.738064, ""effusion"": 0.757744, ""infiltration"": 0.64062, ""mass"": 0.610901, ""nodule"": 0.554092, ""pneumonia"": 0.651253, ""pneumothorax"": 0.692988, ""consolidation"": 0.689642, ""edema"": 0.746427, ""emphysema"": 0.642164, ""fibrosis"": 0.659891, ""pleural_thickening"": 0.636001, ""hernia"": 0.732378}",0.203095,-3.781027,49.451405,1074.08,OK
edge_contrastive,fastkan,edge_aware_fn,edge_mlp,0.05,0.0,chestmnist,42,11543539,4465,0.680379,0.61657,0.105282,"{""atelectasis"": 0.713661, ""cardiomegaly"": 0.753151, ""effusion"": 0.734903, ""infiltration"": 0.607235, ""mass"": 0.659544, ""nodule"": 0.549809, ""pneumonia"": 0.652984, ""pneumothorax"": 0.704242, ""consolidation"": 0.696299, ""edema"": 0.771098, ""emphysema"": 0.691184, ""fibrosis"": 0.640701, ""pleural_thickening"": 0.688129, ""hernia"": 0.662362}",0.67476,0.616383,0.10676,"{""atelectasis"": 0.698249, ""cardiomegaly"": 0.761217, ""effusion"": 0.754902, ""infiltration"": 0.626432, ""mass"": 0.619803, ""nodule"": 0.571558, ""pneumonia"": 0.62029, ""pneumothorax"": 0.685024, ""consolidation"": 0.699474, ""edema"": 0.739074, ""emphysema"": 0.664633, ""fibrosis"": 0.653914, ""pleural_thickening"": 0.646497, ""hernia"": 0.705569}",0.233481,-3.845291,102.845253,1080.61,OK
edge_align,fastkan,edge_aware_fn,edge_mlp,0.0,0.05,chestmnist,42,11543539,4465,0.683491,0.618869,0.10332,"{""atelectasis"": 0.699549, ""cardiomegaly"": 0.741676, ""effusion"": 0.745886, ""infiltration"": 0.626194, ""mass"": 0.655095, ""nodule"": 0.538115, ""pneumonia"": 0.653563, ""pneumothorax"": 0.69656, ""consolidation"": 0.713505, ""edema"": 0.79119, ""emphysema"": 0.670432, ""fibrosis"": 0.660267, ""pleural_thickening"": 0.68029, ""hernia"": 0.696547}",0.683941,0.613054,0.104458,"{""atelectasis"": 0.700082, ""cardiomegaly"": 0.753277, ""effusion"": 0.754793, ""infiltration"": 0.632089, ""mass"": 0.617948, ""nodule"": 0.575666, ""pneumonia"": 0.637907, ""pneumothorax"": 0.678956, ""consolidation"": 0.705837, ""edema"": 0.788685, ""emphysema"": 0.638389, ""fibrosis"": 0.663851, ""pleural_thickening"": 0.651461, ""hernia"": 0.776238}",0.206302,-3.790588,68.745026,1078.42,OK
